 # I XP T DE ATW ATP BT
     1       0.0000      80.0021       0.0020       0.0000       0.0000       0.0000
     2       0.0125      79.9974       0.0010       0.0000       0.0000       0.0000
     3       0.0375      79.9604       0.0010      -0.0000       0.0000       0.0000
     4       0.0625      79.8864       0.0010       0.0000       0.0000       0.0000
     5       0.0875      79.7755       0.0010       0.0000       0.0000       0.0000
     6       0.1125      79.6276       0.0010       0.0000       0.0000       0.0000
     7       0.1375      79.4430       0.0010       0.0000       0.0000       0.0000
     8       0.1625      79.2216       0.0010       0.0000       0.0000       0.0000
     9       0.1875      78.9635       0.0010          NaN       0.0000       0.0000
    10       0.2125      78.6689       0.0010       0.0000       0.0000       0.0000
    11       0.2375      78.3379       0.0010       0.0000       0.0000       0.0000
    12       0.2625      77.9707       0.0010       0.0000       0.0000       0.0000
    13       0.2875      77.5674       0.0010       0.0000       0.0000       0.0000
    14       0.3125      77.1283       0.0010       0.0000       0.0000       0.0000
    15       0.3375      76.6534       0.0010      -0.0000       0.0000       0.0000
    16       0.3625      76.1431       0.0010       0.0000       0.0000       0.0000
    17       0.3875      75.5976       0.0010       0.0000       0.0000       0.0000
    18       0.4125      75.0172       0.0010       0.0000       0.0000       0.0000
    19       0.4375      74.4020       0.0010      -0.0000       0.0000      -0.0000
    20       0.4625      73.7524       0.0010       0.0000       0.0000       0.0000
    21       0.4875      73.0687       0.0010       0.0000       0.0000 ************
    22       0.5125      72.3512       0.0010       0.0000       0.0000       0.0000
    23       0.5375      71.6002       0.0010          NaN       0.0000       0.0000
    24       0.5625      70.8161       0.0010       0.0000       0.0000       0.0000
    25       0.5875      69.9993       0.0010      -0.0000       0.0000       0.0000
    26       0.6125      69.1500       0.0010       0.0000       0.0000       0.0000
    27       0.6375      68.2688       0.0010      -0.0000       0.0000       0.0000
    28       0.6625      67.3560       0.0010       0.0000       0.0000       0.0000
    29       0.6875      66.4121       0.0010       0.0000       0.0000       0.0000
    30       0.7125      65.4374       0.0010       0.0000       0.0000       0.0000
    31       0.7375      64.4325       0.0010       0.0000       0.0000      -0.0000
    32       0.7625      63.3977       0.0010       0.0000       0.0000       0.0000
    33       0.7875      62.3337       0.0010       0.0000       0.0000 ************
    34       0.8125      61.2408       0.0010       0.0000       0.0000       0.0000
    35       0.8375      60.1195       0.0010       0.0000       0.0000       0.0000
    36       0.8625      58.9705       0.0010       0.0000       0.0000       0.0000
    37       0.8875      57.7942       0.0010       0.0000       0.0000       0.0000
    38       0.9125      56.5912       0.0010       0.0000       0.0000       0.0000
    39       0.9375      55.3620       0.0010 ************       0.0000       0.0000
    40       0.9625      54.1071       0.0010       0.0000       0.0000       0.0000
    41       0.9875      52.8273       0.0020       0.0000       0.0000       0.0000
    42       1.0000      52.1781       0.0000       0.0000       0.0000       0.0000
     1       0.0000      47.2430       0.0020       0.0000       1.0000       0.0000
     2       0.0125      47.2430       0.0010       0.0010       0.0015       0.0001
     3       0.0375      47.2124       0.0010       0.0005       0.0010       0.0001
     4       0.0625      47.1606       0.0010       0.0005       0.0010       0.0001
     5       0.0875      47.0875       0.0010       0.0005       0.0010       0.0001
     6       0.1125      46.9931       0.0010       0.0005       0.0010       0.0001
     7       0.1375      46.8775       0.0010       0.0005       0.0010       0.0001
     8       0.1625      46.7406       0.0010       0.0005       0.0010       0.0001
     9       0.1875      46.5826       0.0010       0.0005       0.0010       0.0001
    10       0.2125      46.4035       0.0010       0.0005       0.0010       0.0001
    11       0.2375      46.2034       0.0010       0.0005       0.0010       0.0001
    12       0.2625      45.9823       0.0010       0.0005       0.0010       0.0001
    13       0.2875      45.7403       0.0010       0.0005       0.0010       0.0001
    14       0.3125      45.4776       0.0010       0.0005       0.0010       0.0001
    15       0.3375      45.1942       0.0010       0.0005       0.0010       0.0001
    16       0.3625      44.8904       0.0010       0.0005       0.0010       0.0001
    17       0.3875      44.5661       0.0010       0.0005       0.0010       0.0000
    18       0.4125      44.2215       0.0010       0.0005       0.0010       0.0000
    19       0.4375      43.8569       0.0010       0.0005       0.0010       0.0000
    20       0.4625      43.4723       0.0010       0.0005       0.0010       0.0000
    21       0.4875      43.0679       0.0010       0.0005       0.0010       0.0000
    22       0.5125      42.6440       0.0010       0.0005       0.0010       0.0000
    23       0.5375      42.2006       0.0010       0.0005       0.0010       0.0000
    24       0.5625      41.7381       0.0010       0.0005       0.0010       0.0000
    25       0.5875      41.2565       0.0010       0.0005       0.0010       0.0000
    26       0.6125      40.7562       0.0010       0.0005       0.0010       0.0000
    27       0.6375      40.2374       0.0010       0.0005       0.0010       0.0000
    28       0.6625      39.7002       0.0010       0.0005       0.0010       0.0000
    29       0.6875      39.1450       0.0010       0.0005       0.0010       0.0000
    30       0.7125      38.5719       0.0010       0.0005       0.0010       0.0000
    31       0.7375      37.9814       0.0010       0.0005       0.0010       0.0000
    32       0.7625      37.3735       0.0010       0.0005       0.0010       0.0000
    33       0.7875      36.7487       0.0010       0.0005       0.0010       0.0000
    34       0.8125      36.1072       0.0010       0.0005       0.0010       0.0000
    35       0.8375      35.4493       0.0010       0.0005       0.0010       0.0000
    36       0.8625      34.7752       0.0010       0.0005       0.0010       0.0000
    37       0.8875      34.0854       0.0010       0.0005       0.0010       0.0000
    38       0.9125      33.3802       0.0010       0.0005       0.0010       0.0000
    39       0.9375      32.6598       0.0010       0.0005       0.0010       0.0000
    40       0.9625      31.9246       0.0010       0.0005       0.0010       0.0000
    41       0.9875      31.1749       0.0020       0.0005       0.0015       0.0000
    42       1.0000      30.7901       0.0000       0.0020       0.0020       0.0000
     1       0.0000      27.6573       0.0020       0.0000       1.0000       0.0000
     2       0.0125      27.6573       0.0010       0.0010       0.0015       0.0000
     3       0.0375      27.6530       0.0010       0.0005       0.0010       0.0000
     4       0.0625      27.6351       0.0010       0.0005       0.0010       0.0000
     5       0.0875      27.6038       0.0010       0.0005       0.0010       0.0000
     6       0.1125      27.5591       0.0010       0.0005       0.0010       0.0000
     7       0.1375      27.5011       0.0010       0.0005       0.0010       0.0000
     8       0.1625      27.4298       0.0010       0.0005       0.0010       0.0000
     9       0.1875      27.3453       0.0010       0.0005       0.0010       0.0000
    10       0.2125      27.2476       0.0010       0.0005       0.0010       0.0000
    11       0.2375      27.1369       0.0010       0.0005       0.0010       0.0000
    12       0.2625      27.0132       0.0010       0.0005       0.0010       0.0000
    13       0.2875      26.8766       0.0010       0.0005       0.0010       0.0000
    14       0.3125      26.7272       0.0010       0.0005       0.0010       0.0000
    15       0.3375      26.5651       0.0010       0.0005       0.0010       0.0000
    16       0.3625      26.3904       0.0010       0.0005       0.0010       0.0000
    17       0.3875      26.2031       0.0010       0.0005       0.0010       0.0000
    18       0.4125      26.0034       0.0010       0.0005       0.0010       0.0000
    19       0.4375      25.7914       0.0010       0.0005       0.0010       0.0000
    20       0.4625      25.5672       0.0010       0.0005       0.0010       0.0000
    21       0.4875      25.3309       0.0010       0.0005       0.0010       0.0000
    22       0.5125      25.0826       0.0010       0.0005       0.0010       0.0000
    23       0.5375      24.8225       0.0010       0.0005       0.0010       0.0000
    24       0.5625      24.5506       0.0010       0.0005       0.0010       0.0000
    25       0.5875      24.2672       0.0010       0.0005       0.0010       0.0000
    26       0.6125      23.9723       0.0010       0.0005       0.0010       0.0000
    27       0.6375      23.6660       0.0010       0.0005       0.0010       0.0000
    28       0.6625      23.3486       0.0010       0.0005       0.0010       0.0000
    29       0.6875      23.0202       0.0010       0.0005       0.0010       0.0000
    30       0.7125      22.6808       0.0010       0.0005       0.0010       0.0000
    31       0.7375      22.3307       0.0010       0.0005       0.0010       0.0000
    32       0.7625      21.9700       0.0010       0.0005       0.0010       0.0000
    33       0.7875      21.5990       0.0010       0.0005       0.0010       0.0000
    34       0.8125      21.2176       0.0010       0.0005       0.0010       0.0000
    35       0.8375      20.8261       0.0010       0.0005       0.0010       0.0000
    36       0.8625      20.4248       0.0010       0.0005       0.0010       0.0000
    37       0.8875      20.0136       0.0010       0.0005       0.0010       0.0000
    38       0.9125      19.5929       0.0010       0.0005       0.0010       0.0000
    39       0.9375      19.1628       0.0010       0.0005       0.0010       0.0000
    40       0.9625      18.7234       0.0010       0.0005       0.0010       0.0000
    41       0.9875      18.2750       0.0020       0.0005       0.0015       0.0000
    42       1.0000      18.0494       0.0000       0.0020       0.0020       0.0000
     1       0.0000      16.3242       0.0020       0.0000       1.0000       0.0000
     2       0.0125      16.3242       0.0010       0.0010       0.0015       0.0000
     3       0.0375      16.3084       0.0010       0.0005       0.0010       0.0000
     4       0.0625      16.2859       0.0010       0.0005       0.0010       0.0000
     5       0.0875      16.2566       0.0010       0.0005       0.0010       0.0000
     6       0.1125      16.2206       0.0010       0.0005       0.0010       0.0000
     7       0.1375      16.1777       0.0010       0.0005       0.0010       0.0000
     8       0.1625      16.1279       0.0010       0.0005       0.0010       0.0000
     9       0.1875      16.0712       0.0010       0.0005       0.0010       0.0000
    10       0.2125      16.0076       0.0010       0.0005       0.0010       0.0000
    11       0.2375      15.9371       0.0010       0.0005       0.0010       0.0000
    12       0.2625      15.8596       0.0010       0.0005       0.0010       0.0000
    13       0.2875      15.7751       0.0010       0.0005       0.0010       0.0000
    14       0.3125      15.6837       0.0010       0.0005       0.0010       0.0000
    15       0.3375      15.5853       0.0010       0.0005       0.0010       0.0000
    16       0.3625      15.4801       0.0010       0.0005       0.0010       0.0000
    17       0.3875      15.3679       0.0010       0.0005       0.0010       0.0000
    18       0.4125      15.2489       0.0010       0.0005       0.0010       0.0000
    19       0.4375      15.1231       0.0010       0.0005       0.0010       0.0000
    20       0.4625      14.9905       0.0010       0.0005       0.0010       0.0000
    21       0.4875      14.8512       0.0010       0.0005       0.0010       0.0000
    22       0.5125      14.7052       0.0010       0.0005       0.0010       0.0000
    23       0.5375      14.5525       0.0010       0.0005       0.0010       0.0000
    24       0.5625      14.3934       0.0010       0.0005       0.0010       0.0000
    25       0.5875      14.2277       0.0010       0.0005       0.0010       0.0000
    26       0.6125      14.0557       0.0010       0.0005       0.0010       0.0000
    27       0.6375      13.8773       0.0010       0.0005       0.0010       0.0000
    28       0.6625      13.6927       0.0010       0.0005       0.0010       0.0000
    29       0.6875      13.5019       0.0010       0.0005       0.0010       0.0000
    30       0.7125      13.3051       0.0010       0.0005       0.0010       0.0000
    31       0.7375      13.1024       0.0010       0.0005       0.0010       0.0000
    32       0.7625      12.8938       0.0010       0.0005       0.0010       0.0000
    33       0.7875      12.6794       0.0010       0.0005       0.0010       0.0000
    34       0.8125      12.4595       0.0010       0.0005       0.0010       0.0000
    35       0.8375      12.2341       0.0010       0.0005       0.0010       0.0000
    36       0.8625      12.0033       0.0010       0.0005       0.0010       0.0000
    37       0.8875      11.7673       0.0010       0.0005       0.0010       0.0000
    38       0.9125      11.5262       0.0010       0.0005       0.0010       0.0000
    39       0.9375      11.2801       0.0010       0.0005       0.0010       0.0000
    40       0.9625      11.0293       0.0010       0.0005       0.0010       0.0000
    41       0.9875      10.7737       0.0020       0.0005       0.0015       0.0000
    42       1.0000      10.6407       0.0000       0.0020       0.0020       0.0000
     1       0.0000       9.5200       0.0020       0.0000       1.0000       0.0000
     2       0.0125       9.5200       0.0010       0.0010       0.0015       0.0000
     3       0.0375       9.5237       0.0010       0.0005       0.0010       0.0000
     4       0.0625       9.5221       0.0010       0.0005       0.0010       0.0000
     5       0.0875       9.5151       0.0010       0.0005       0.0010       0.0000
     6       0.1125       9.5029       0.0010       0.0005       0.0010       0.0000
     7       0.1375       9.4857       0.0010       0.0005       0.0010       0.0000
     8       0.1625       9.4634       0.0010       0.0005       0.0010       0.0000
     9       0.1875       9.4361       0.0010       0.0005       0.0010       0.0000
    10       0.2125       9.4039       0.0010       0.0005       0.0010       0.0000
    11       0.2375       9.3670       0.0010       0.0005       0.0010       0.0000
    12       0.2625       9.3253       0.0010       0.0005       0.0010       0.0000
    13       0.2875       9.2789       0.0010       0.0005       0.0010       0.0000
    14       0.3125       9.2280       0.0010       0.0005       0.0010       0.0000
    15       0.3375       9.1724       0.0010       0.0005       0.0010       0.0000
    16       0.3625       9.1124       0.0010       0.0005       0.0010       0.0000
    17       0.3875       9.0479       0.0010       0.0005       0.0010       0.0000
    18       0.4125       8.9791       0.0010       0.0005       0.0010       0.0000
    19       0.4375       8.9059       0.0010       0.0005       0.0010       0.0000
    20       0.4625       8.8284       0.0010       0.0005       0.0010       0.0000
    21       0.4875       8.7467       0.0010       0.0005       0.0010       0.0000
    22       0.5125       8.6607       0.0010       0.0005       0.0010       0.0000
    23       0.5375       8.5707       0.0010       0.0005       0.0010       0.0000
    24       0.5625       8.4765       0.0010       0.0005       0.0010       0.0000
    25       0.5875       8.3784       0.0010       0.0005       0.0010       0.0000
    26       0.6125       8.2761       0.0010       0.0005       0.0010       0.0000
    27       0.6375       8.1700       0.0010       0.0005       0.0010       0.0000
    28       0.6625       8.0599       0.0010       0.0005       0.0010       0.0000
    29       0.6875       7.9459       0.0010       0.0005       0.0010       0.0000
    30       0.7125       7.8281       0.0010       0.0005       0.0010       0.0000
    31       0.7375       7.7065       0.0010       0.0005       0.0010       0.0000
    32       0.7625       7.5812       0.0010       0.0005       0.0010       0.0000
    33       0.7875       7.4521       0.0010       0.0005       0.0010       0.0000
    34       0.8125       7.3193       0.0010       0.0005       0.0010       0.0000
    35       0.8375       7.1828       0.0010       0.0005       0.0010       0.0000
    36       0.8625       7.0428       0.0010       0.0005       0.0010       0.0000
    37       0.8875       6.8991       0.0010       0.0005       0.0010       0.0000
    38       0.9125       6.7519       0.0010       0.0005       0.0010       0.0000
    39       0.9375       6.6011       0.0010       0.0005       0.0010       0.0000
    40       0.9625       6.4468       0.0010       0.0005       0.0010       0.0000
    41       0.9875       6.2890       0.0020       0.0005       0.0015       0.0000
    42       1.0000       6.2113       0.0000       0.0020       0.0020       0.0000
