 # I XP T DE ATW ATP BT
     1       0.0000      80.0021       0.0020       0.0000       0.0000       0.0000
     2       0.0125      79.9974       0.0010       0.0000       0.0000       0.0000
     3       0.0375      79.9604       0.0010      -0.0000       0.0000       0.0000
     4       0.0625      79.8864       0.0010       0.0000       0.0000       0.0000
     5       0.0875      79.7755       0.0010       0.0000       0.0000       0.0000
     6       0.1125      79.6276       0.0010       0.0000       0.0000       0.0000
     7       0.1375      79.4430       0.0010       0.0000       0.0000       0.0000
     8       0.1625      79.2216       0.0010       0.0000       0.0000       0.0000
     9       0.1875      78.9635       0.0010          NaN       0.0000       0.0000
    10       0.2125      78.6689       0.0010       0.0000       0.0000       0.0000
    11       0.2375      78.3379       0.0010       0.0000       0.0000       0.0000
    12       0.2625      77.9707       0.0010       0.0000       0.0000       0.0000
    13       0.2875      77.5674       0.0010       0.0000       0.0000       0.0000
    14       0.3125      77.1283       0.0010       0.0000       0.0000       0.0000
    15       0.3375      76.6534       0.0010      -0.0000       0.0000       0.0000
    16       0.3625      76.1431       0.0010       0.0000       0.0000       0.0000
    17       0.3875      75.5976       0.0010       0.0000       0.0000       0.0000
    18       0.4125      75.0172       0.0010       0.0000       0.0000       0.0000
    19       0.4375      74.4020       0.0010      -0.0000       0.0000      -0.0000
    20       0.4625      73.7524       0.0010       0.0000       0.0000       0.0000
    21       0.4875      73.0687       0.0010       0.0000       0.0000 -131075.1250
    22       0.5125      72.3512       0.0010       0.0000       0.0000       0.0000
    23       0.5375      71.6002       0.0010          NaN       0.0000       0.0000
    24       0.5625      70.8161       0.0010       0.0000       0.0000       0.0000
    25       0.5875      69.9993       0.0010      -0.0000       0.0000       0.0000
    26       0.6125      69.1500       0.0010       0.0000       0.0000       0.0000
    27       0.6375      68.2688       0.0010      -0.0000       0.0000       0.0000
    28       0.6625      67.3560       0.0010       0.0000       0.0000       0.0000
    29       0.6875      66.4121       0.0010       0.0000       0.0000       0.0000
    30       0.7125      65.4374       0.0010       0.0000       0.0000       0.0000
    31       0.7375      64.4325       0.0010       0.0000       0.0000      -0.0000
    32       0.7625      63.3977       0.0010       0.0000       0.0000       0.0000
    33       0.7875      62.3337       0.0010       0.0000       0.0000 -131075.1250
    34       0.8125      61.2408       0.0010       0.0000       0.0000       0.0000
    35       0.8375      60.1195       0.0010       0.0000       0.0000       0.0000
    36       0.8625      58.9705       0.0010       0.0000       0.0000       0.0000
    37       0.8875      57.7942       0.0010       0.0000       0.0000       0.0000
    38       0.9125      56.5912       0.0010       0.0000       0.0000       0.0000
    39       0.9375      55.3620       0.0010 ************       0.0000       0.0000
    40       0.9625      54.1071       0.0010       0.0000       0.0000       0.0000
    41       0.9875      52.8273       0.0020       0.0000       0.0000       0.0000
    42       1.0000      52.1781       0.0000       0.0000       0.0000       0.0000
     1       0.0000      70.3453       0.0020       0.0000       1.0000       0.0000
     2       0.0125      70.3453       0.0010       0.0010       0.0015       0.0003
     3       0.0375      70.3044       0.0010       0.0005       0.0010       0.0003
     4       0.0625      70.2316       0.0010       0.0005       0.0010       0.0003
     5       0.0875      70.1272       0.0010       0.0005       0.0010       0.0003
     6       0.1125      69.9909       0.0010       0.0005       0.0010       0.0003
     7       0.1375      69.8228       0.0010       0.0005       0.0010       0.0003
     8       0.1625      69.6229       0.0010       0.0005       0.0010       0.0003
     9       0.1875      69.3914       0.0010       0.0005       0.0010       0.0003
    10       0.2125      69.1283       0.0010       0.0005       0.0010       0.0003
    11       0.2375      68.8336       0.0010       0.0005       0.0010       0.0003
    12       0.2625      68.5075       0.0010       0.0005       0.0010       0.0003
    13       0.2875      68.1501       0.0010       0.0005       0.0010       0.0003
    14       0.3125      67.7615       0.0010       0.0005       0.0010       0.0003
    15       0.3375      67.3419       0.0010       0.0005       0.0010       0.0003
    16       0.3625      66.8915       0.0010       0.0005       0.0010       0.0003
    17       0.3875      66.4105       0.0010       0.0005       0.0010       0.0003
    18       0.4125      65.8990       0.0010       0.0005       0.0010       0.0002
    19       0.4375      65.3573       0.0010       0.0005       0.0010       0.0002
    20       0.4625      64.7856       0.0010       0.0005       0.0010       0.0002
    21       0.4875      64.1842       0.0010       0.0005       0.0010       0.0002
    22       0.5125      63.5534       0.0010       0.0005       0.0010       0.0002
    23       0.5375      62.8934       0.0010       0.0005       0.0010       0.0002
    24       0.5625      62.2045       0.0010       0.0005       0.0010       0.0002
    25       0.5875      61.4871       0.0010       0.0005       0.0010       0.0002
    26       0.6125      60.7415       0.0010       0.0005       0.0010       0.0002
    27       0.6375      59.9680       0.0010       0.0005       0.0010       0.0002
    28       0.6625      59.1670       0.0010       0.0005       0.0010       0.0002
    29       0.6875      58.3389       0.0010       0.0005       0.0010       0.0002
    30       0.7125      57.4840       0.0010       0.0005       0.0010       0.0002
    31       0.7375      56.6027       0.0010       0.0005       0.0010       0.0002
    32       0.7625      55.6956       0.0010       0.0005       0.0010       0.0002
    33       0.7875      54.7629       0.0010       0.0005       0.0010       0.0002
    34       0.8125      53.8052       0.0010       0.0005       0.0010       0.0002
    35       0.8375      52.8229       0.0010       0.0005       0.0010       0.0002
    36       0.8625      51.8164       0.0010       0.0005       0.0010       0.0002
    37       0.8875      50.7863       0.0010       0.0005       0.0010       0.0002
    38       0.9125      49.7331       0.0010       0.0005       0.0010       0.0002
    39       0.9375      48.6572       0.0010       0.0005       0.0010       0.0002
    40       0.9625      47.5592       0.0010       0.0005       0.0010       0.0002
    41       0.9875      46.4395       0.0020       0.0005       0.0015       0.0002
    42       1.0000      45.8662       0.0000       0.0020       0.0020       0.0000
     1       0.0000      61.6830       0.0020       0.0000       1.0000       0.0000
     2       0.0125      61.6830       0.0010       0.0010       0.0015       0.0002
     3       0.0375      61.6622       0.0010       0.0005       0.0010       0.0002
     4       0.0625      61.6118       0.0010       0.0005       0.0010       0.0002
     5       0.0875      61.5317       0.0010       0.0005       0.0010       0.0002
     6       0.1125      61.4222       0.0010       0.0005       0.0010       0.0002
     7       0.1375      61.2836       0.0010       0.0005       0.0010       0.0002
     8       0.1625      61.1158       0.0010       0.0005       0.0010       0.0002
     9       0.1875      60.9192       0.0010       0.0005       0.0010       0.0002
    10       0.2125      60.6939       0.0010       0.0005       0.0010       0.0002
    11       0.2375      60.4401       0.0010       0.0005       0.0010       0.0002
    12       0.2625      60.1579       0.0010       0.0005       0.0010       0.0002
    13       0.2875      59.8476       0.0010       0.0005       0.0010       0.0002
    14       0.3125      59.5094       0.0010       0.0005       0.0010       0.0002
    15       0.3375      59.1434       0.0010       0.0005       0.0010       0.0002
    16       0.3625      58.7499       0.0010       0.0005       0.0010       0.0002
    17       0.3875      58.3291       0.0010       0.0005       0.0010       0.0002
    18       0.4125      57.8812       0.0010       0.0005       0.0010       0.0002
    19       0.4375      57.4064       0.0010       0.0005       0.0010       0.0002
    20       0.4625      56.9050       0.0010       0.0005       0.0010       0.0002
    21       0.4875      56.3772       0.0010       0.0005       0.0010       0.0002
    22       0.5125      55.8233       0.0010       0.0005       0.0010       0.0002
    23       0.5375      55.2435       0.0010       0.0005       0.0010       0.0002
    24       0.5625      54.6381       0.0010       0.0005       0.0010       0.0002
    25       0.5875      54.0074       0.0010       0.0005       0.0010       0.0002
    26       0.6125      53.3517       0.0010       0.0005       0.0010       0.0002
    27       0.6375      52.6712       0.0010       0.0005       0.0010       0.0002
    28       0.6625      51.9663       0.0010       0.0005       0.0010       0.0002
    29       0.6875      51.2373       0.0010       0.0005       0.0010       0.0002
    30       0.7125      50.4845       0.0010       0.0005       0.0010       0.0002
    31       0.7375      49.7082       0.0010       0.0005       0.0010       0.0002
    32       0.7625      48.9087       0.0010       0.0005       0.0010       0.0002
    33       0.7875      48.0865       0.0010       0.0005       0.0010       0.0002
    34       0.8125      47.2418       0.0010       0.0005       0.0010       0.0002
    35       0.8375      46.3749       0.0010       0.0005       0.0010       0.0002
    36       0.8625      45.4863       0.0010       0.0005       0.0010       0.0002
    37       0.8875      44.5763       0.0010       0.0005       0.0010       0.0002
    38       0.9125      43.6452       0.0010       0.0005       0.0010       0.0002
    39       0.9375      42.6935       0.0010       0.0005       0.0010       0.0002
    40       0.9625      41.7214       0.0010       0.0005       0.0010       0.0002
    41       0.9875      40.7293       0.0020       0.0005       0.0015       0.0002
    42       1.0000      40.2265       0.0000       0.0020       0.0020       0.0000
     1       0.0000      54.2074       0.0020       0.0000       1.0000       0.0000
     2       0.0125      54.2074       0.0010       0.0010       0.0015       0.0002
     3       0.0375      54.1749       0.0010       0.0005       0.0010       0.0002
     4       0.0625      54.1188       0.0010       0.0005       0.0010       0.0002
     5       0.0875      54.0390       0.0010       0.0005       0.0010       0.0002
     6       0.1125      53.9352       0.0010       0.0005       0.0010       0.0002
     7       0.1375      53.8074       0.0010       0.0005       0.0010       0.0002
     8       0.1625      53.6554       0.0010       0.0005       0.0010       0.0002
     9       0.1875      53.4791       0.0010       0.0005       0.0010       0.0002
    10       0.2125      53.2786       0.0010       0.0005       0.0010       0.0002
    11       0.2375      53.0538       0.0010       0.0005       0.0010       0.0002
    12       0.2625      52.8047       0.0010       0.0005       0.0010       0.0002
    13       0.2875      52.5315       0.0010       0.0005       0.0010       0.0002
    14       0.3125      52.2341       0.0010       0.0005       0.0010       0.0002
    15       0.3375      51.9126       0.0010       0.0005       0.0010       0.0002
    16       0.3625      51.5672       0.0010       0.0005       0.0010       0.0002
    17       0.3875      51.1979       0.0010       0.0005       0.0010       0.0002
    18       0.4125      50.8050       0.0010       0.0005       0.0010       0.0002
    19       0.4375      50.3886       0.0010       0.0005       0.0010       0.0002
    20       0.4625      49.9489       0.0010       0.0005       0.0010       0.0002
    21       0.4875      49.4860       0.0010       0.0005       0.0010       0.0002
    22       0.5125      49.0002       0.0010       0.0005       0.0010       0.0002
    23       0.5375      48.4917       0.0010       0.0005       0.0010       0.0002
    24       0.5625      47.9607       0.0010       0.0005       0.0010       0.0002
    25       0.5875      47.4075       0.0010       0.0005       0.0010       0.0002
    26       0.6125      46.8324       0.0010       0.0005       0.0010       0.0002
    27       0.6375      46.2356       0.0010       0.0005       0.0010       0.0002
    28       0.6625      45.6174       0.0010       0.0005       0.0010       0.0002
    29       0.6875      44.9781       0.0010       0.0005       0.0010       0.0002
    30       0.7125      44.3181       0.0010       0.0005       0.0010       0.0002
    31       0.7375      43.6377       0.0010       0.0005       0.0010       0.0002
    32       0.7625      42.9372       0.0010       0.0005       0.0010       0.0002
    33       0.7875      42.2170       0.0010       0.0005       0.0010       0.0002
    34       0.8125      41.4775       0.0010       0.0005       0.0010       0.0002
    35       0.8375      40.7190       0.0010       0.0005       0.0010       0.0002
    36       0.8625      39.9421       0.0010       0.0005       0.0010       0.0002
    37       0.8875      39.1471       0.0010       0.0005       0.0010       0.0001
    38       0.9125      38.3346       0.0010       0.0005       0.0010       0.0001
    39       0.9375      37.5049       0.0010       0.0005       0.0010       0.0001
    40       0.9625      36.6586       0.0010       0.0005       0.0010       0.0001
    41       0.9875      35.7963       0.0020       0.0005       0.0015       0.0001
    42       1.0000      35.3543       0.0000       0.0020       0.0020       0.0000
     1       0.0000      47.5520       0.0020       0.0000       1.0000       0.0000
     2       0.0125      47.5520       0.0010       0.0010       0.0015       0.0002
     3       0.0375      47.5371       0.0010       0.0005       0.0010       0.0002
     4       0.0625      47.4985       0.0010       0.0005       0.0010       0.0002
     5       0.0875      47.4366       0.0010       0.0005       0.0010       0.0002
     6       0.1125      47.3516       0.0010       0.0005       0.0010       0.0002
     7       0.1375      47.2438       0.0010       0.0005       0.0010       0.0002
     8       0.1625      47.1134       0.0010       0.0005       0.0010       0.0002
     9       0.1875      46.9607       0.0010       0.0005       0.0010       0.0002
    10       0.2125      46.7859       0.0010       0.0005       0.0010       0.0002
    11       0.2375      46.5891       0.0010       0.0005       0.0010       0.0002
    12       0.2625      46.3705       0.0010       0.0005       0.0010       0.0002
    13       0.2875      46.1304       0.0010       0.0005       0.0010       0.0002
    14       0.3125      45.8688       0.0010       0.0005       0.0010       0.0002
    15       0.3375      45.5860       0.0010       0.0005       0.0010       0.0002
    16       0.3625      45.2820       0.0010       0.0005       0.0010       0.0002
    17       0.3875      44.9572       0.0010       0.0005       0.0010       0.0002
    18       0.4125      44.6116       0.0010       0.0005       0.0010       0.0002
    19       0.4375      44.2454       0.0010       0.0005       0.0010       0.0002
    20       0.4625      43.8588       0.0010       0.0005       0.0010       0.0002
    21       0.4875      43.4519       0.0010       0.0005       0.0010       0.0002
    22       0.5125      43.0251       0.0010       0.0005       0.0010       0.0002
    23       0.5375      42.5784       0.0010       0.0005       0.0010       0.0002
    24       0.5625      42.1121       0.0010       0.0005       0.0010       0.0002
    25       0.5875      41.6264       0.0010       0.0005       0.0010       0.0002
    26       0.6125      41.1215       0.0010       0.0005       0.0010       0.0002
    27       0.6375      40.5976       0.0010       0.0005       0.0010       0.0002
    28       0.6625      40.0549       0.0010       0.0005       0.0010       0.0002
    29       0.6875      39.4937       0.0010       0.0005       0.0010       0.0001
    30       0.7125      38.9143       0.0010       0.0005       0.0010       0.0001
    31       0.7375      38.3168       0.0010       0.0005       0.0010       0.0001
    32       0.7625      37.7014       0.0010       0.0005       0.0010       0.0001
    33       0.7875      37.0685       0.0010       0.0005       0.0010       0.0001
    34       0.8125      36.4183       0.0010       0.0005       0.0010       0.0001
    35       0.8375      35.7510       0.0010       0.0005       0.0010       0.0001
    36       0.8625      35.0668       0.0010       0.0005       0.0010       0.0001
    37       0.8875      34.3659       0.0010       0.0005       0.0010       0.0001
    38       0.9125      33.6486       0.0010       0.0005       0.0010       0.0001
    39       0.9375      32.9151       0.0010       0.0005       0.0010       0.0001
    40       0.9625      32.1655       0.0010       0.0005       0.0010       0.0001
    41       0.9875      31.3999       0.0020       0.0005       0.0015       0.0001
    42       1.0000      31.0123       0.0000       0.0020       0.0020       0.0000
     1       0.0000      41.7828       0.0020       0.0000       1.0000       0.0000
     2       0.0125      41.7828       0.0010       0.0010       0.0015       0.0002
     3       0.0375      41.7566       0.0010       0.0005       0.0010       0.0002
     4       0.0625      41.7129       0.0010       0.0005       0.0010       0.0002
     5       0.0875      41.6515       0.0010       0.0005       0.0010       0.0002
     6       0.1125      41.5719       0.0010       0.0005       0.0010       0.0002
     7       0.1375      41.4739       0.0010       0.0005       0.0010       0.0002
     8       0.1625      41.3575       0.0010       0.0005       0.0010       0.0002
     9       0.1875      41.2223       0.0010       0.0005       0.0010       0.0002
