 # I XP T DE ATW ATP BT
     1       0.0000      80.0021       0.0020       0.0000       0.0000       0.0000
     2       0.0125      79.9974       0.0010       0.0000       0.0000       0.0000
     3       0.0375      79.9604       0.0010      -0.0000       0.0000       0.0000
     4       0.0625      79.8864       0.0010       0.0000       0.0000       0.0000
     5       0.0875      79.7755       0.0010       0.0000       0.0000       0.0000
     6       0.1125      79.6276       0.0010       0.0000       0.0000       0.0000
     7       0.1375      79.4430       0.0010       0.0000       0.0000       0.0000
     8       0.1625      79.2216       0.0010       0.0000       0.0000       0.0000
     9       0.1875      78.9635       0.0010          NaN       0.0000       0.0000
    10       0.2125      78.6689       0.0010       0.0000       0.0000       0.0000
    11       0.2375      78.3379       0.0010       0.0000       0.0000       0.0000
    12       0.2625      77.9707       0.0010       0.0000       0.0000       0.0000
    13       0.2875      77.5674       0.0010       0.0000       0.0000       0.0000
    14       0.3125      77.1283       0.0010       0.0000       0.0000       0.0000
    15       0.3375      76.6534       0.0010      -0.0000       0.0000       0.0000
    16       0.3625      76.1431       0.0010       0.0000       0.0000       0.0000
    17       0.3875      75.5976       0.0010       0.0000       0.0000       0.0000
    18       0.4125      75.0172       0.0010       0.0000       0.0000       0.0000
    19       0.4375      74.4020       0.0010      -0.0000       0.0000      -0.0000
    20       0.4625      73.7524       0.0010       0.0000       0.0000       0.0000
    21       0.4875      73.0687       0.0010       0.0000       0.0000      -0.0000
    22       0.5125      72.3512       0.0010       0.0000       0.0000       0.0000
    23       0.5375      71.6002       0.0010          NaN       0.0000       0.0000
    24       0.5625      70.8161       0.0010       0.0000       0.0000       0.0000
    25       0.5875      69.9993       0.0010 ************       0.0000       0.0000
    26       0.6125      69.1500       0.0010       0.0000       0.0000       0.0000
    27       0.6375      68.2688       0.0010      -0.0000       0.0000       0.0000
    28       0.6625      67.3560       0.0010       0.0000       0.0000       0.0000
    29       0.6875      66.4121       0.0010       0.0000       0.0000       0.0000
    30       0.7125      65.4374       0.0010       0.0000       0.0000       0.0000
    31       0.7375      64.4325       0.0010       0.0000       0.0000      -0.0000
    32       0.7625      63.3977       0.0010       0.0000       0.0000       0.0000
    33       0.7875      62.3337       0.0010       0.0000       0.0000      -0.0000
    34       0.8125      61.2408       0.0010       0.0000       0.0000       0.0000
    35       0.8375      60.1195       0.0010       0.0000       0.0000       0.0000
    36       0.8625      58.9705       0.0010       0.0000       0.0000       0.0000
    37       0.8875      57.7942       0.0010       0.0000       0.0000       0.0000
    38       0.9125      56.5912       0.0010       0.0000       0.0000       0.0000
    39       0.9375      55.3620       0.0010 ************       0.0000       0.0000
    40       0.9625      54.1071       0.0010       0.0000       0.0000       0.0000
    41       0.9875      52.8273       0.0020       0.0000       0.0000       0.0000
    42       1.0000      52.1781       0.0000       0.0000       0.0000       0.0000
     1       0.0000      61.7614       0.0020       0.0000       1.0000       0.0000
     2       0.0125      61.7614       0.0010       0.0010       0.0015       0.0001
     3       0.0375      61.7242       0.0010       0.0005       0.0010       0.0001
     4       0.0625      61.6591       0.0010       0.0005       0.0010       0.0001
     5       0.0875      61.5661       0.0010       0.0005       0.0010       0.0001
     6       0.1125      61.4452       0.0010       0.0005       0.0010       0.0001
     7       0.1375      61.2964       0.0010       0.0005       0.0010       0.0001
     8       0.1625      61.1197       0.0010       0.0005       0.0010       0.0001
     9       0.1875      60.9153       0.0010       0.0005       0.0010       0.0001
    10       0.2125      60.6831       0.0010       0.0005       0.0010       0.0001
    11       0.2375      60.4233       0.0010       0.0005       0.0010       0.0001
    12       0.2625      60.1360       0.0010       0.0005       0.0010       0.0001
    13       0.2875      59.8212       0.0010       0.0005       0.0010       0.0001
    14       0.3125      59.4792       0.0010       0.0005       0.0010       0.0001
    15       0.3375      59.1100       0.0010       0.0005       0.0010       0.0001
    16       0.3625      58.7139       0.0010       0.0005       0.0010       0.0001
    17       0.3875      58.2910       0.0010       0.0005       0.0010       0.0001
    18       0.4125      57.8414       0.0010       0.0005       0.0010       0.0001
    19       0.4375      57.3653       0.0010       0.0005       0.0010       0.0001
    20       0.4625      56.8631       0.0010       0.0005       0.0010       0.0001
    21       0.4875      56.3349       0.0010       0.0005       0.0010       0.0001
    22       0.5125      55.7809       0.0010       0.0005       0.0010       0.0001
    23       0.5375      55.2013       0.0010       0.0005       0.0010       0.0001
    24       0.5625      54.5966       0.0010       0.0005       0.0010       0.0001
    25       0.5875      53.9668       0.0010       0.0005       0.0010       0.0001
    26       0.6125      53.3124       0.0010       0.0005       0.0010       0.0001
    27       0.6375      52.6336       0.0010       0.0005       0.0010       0.0001
    28       0.6625      51.9307       0.0010       0.0005       0.0010       0.0001
    29       0.6875      51.2041       0.0010       0.0005       0.0010       0.0001
    30       0.7125      50.4541       0.0010       0.0005       0.0010       0.0001
    31       0.7375      49.6810       0.0010       0.0005       0.0010       0.0001
    32       0.7625      48.8851       0.0010       0.0005       0.0010       0.0001
    33       0.7875      48.0670       0.0010       0.0005       0.0010       0.0001
    34       0.8125      47.2269       0.0010       0.0005       0.0010       0.0001
    35       0.8375      46.3653       0.0010       0.0005       0.0010       0.0001
    36       0.8625      45.4825       0.0010       0.0005       0.0010       0.0001
    37       0.8875      44.5790       0.0010       0.0005       0.0010       0.0001
    38       0.9125      43.6552       0.0010       0.0005       0.0010       0.0001
    39       0.9375      42.7115       0.0010       0.0005       0.0010       0.0001
    40       0.9625      41.7484       0.0010       0.0005       0.0010       0.0001
    41       0.9875      40.7664       0.0020       0.0005       0.0015       0.0001
    42       1.0000      40.2631       0.0000       0.0020       0.0020       0.0000
     1       0.0000      47.4641       0.0020       0.0000       1.0000       0.0000
     2       0.0125      47.4641       0.0010       0.0010       0.0015       0.0001
     3       0.0375      47.4504       0.0010       0.0005       0.0010       0.0001
     4       0.0625      47.4138       0.0010       0.0005       0.0010       0.0001
     5       0.0875      47.3544       0.0010       0.0005       0.0010       0.0001
     6       0.1125      47.2723       0.0010       0.0005       0.0010       0.0001
     7       0.1375      47.1677       0.0010       0.0005       0.0010       0.0001
     8       0.1625      47.0406       0.0010       0.0005       0.0010       0.0001
     9       0.1875      46.8912       0.0010       0.0005       0.0010       0.0001
    10       0.2125      46.7196       0.0010       0.0005       0.0010       0.0001
    11       0.2375      46.5260       0.0010       0.0005       0.0010       0.0001
    12       0.2625      46.3103       0.0010       0.0005       0.0010       0.0001
    13       0.2875      46.0729       0.0010       0.0005       0.0010       0.0001
    14       0.3125      45.8139       0.0010       0.0005       0.0010       0.0001
    15       0.3375      45.5333       0.0010       0.0005       0.0010       0.0001
    16       0.3625      45.2315       0.0010       0.0005       0.0010       0.0001
    17       0.3875      44.9084       0.0010       0.0005       0.0010       0.0001
    18       0.4125      44.5643       0.0010       0.0005       0.0010       0.0001
    19       0.4375      44.1995       0.0010       0.0005       0.0010       0.0001
    20       0.4625      43.8139       0.0010       0.0005       0.0010       0.0001
    21       0.4875      43.4080       0.0010       0.0005       0.0010       0.0001
    22       0.5125      42.9817       0.0010       0.0005       0.0010       0.0001
    23       0.5375      42.5355       0.0010       0.0005       0.0010       0.0001
    24       0.5625      42.0694       0.0010       0.0005       0.0010       0.0001
    25       0.5875      41.5837       0.0010       0.0005       0.0010       0.0001
    26       0.6125      41.0786       0.0010       0.0005       0.0010       0.0001
    27       0.6375      40.5543       0.0010       0.0005       0.0010       0.0001
    28       0.6625      40.0111       0.0010       0.0005       0.0010       0.0001
    29       0.6875      39.4493       0.0010       0.0005       0.0010       0.0001
    30       0.7125      38.8690       0.0010       0.0005       0.0010       0.0001
    31       0.7375      38.2705       0.0010       0.0005       0.0010       0.0001
    32       0.7625      37.6542       0.0010       0.0005       0.0010       0.0001
    33       0.7875      37.0202       0.0010       0.0005       0.0010       0.0001
    34       0.8125      36.3688       0.0010       0.0005       0.0010       0.0001
    35       0.8375      35.7003       0.0010       0.0005       0.0010       0.0001
    36       0.8625      35.0150       0.0010       0.0005       0.0010       0.0001
    37       0.8875      34.3132       0.0010       0.0005       0.0010       0.0001
    38       0.9125      33.5951       0.0010       0.0005       0.0010       0.0001
    39       0.9375      32.8611       0.0010       0.0005       0.0010       0.0001
    40       0.9625      32.1115       0.0010       0.0005       0.0010       0.0001
    41       0.9875      31.3465       0.0020       0.0005       0.0015       0.0001
    42       1.0000      30.9595       0.0000       0.0020       0.0020       0.0000
     1       0.0000      36.6148       0.0020       0.0000       1.0000       0.0000
     2       0.0125      36.6148       0.0010       0.0010       0.0015       0.0001
     3       0.0375      36.5899       0.0010       0.0005       0.0010       0.0001
     4       0.0625      36.5493       0.0010       0.0005       0.0010       0.0001
     5       0.0875      36.4927       0.0010       0.0005       0.0010       0.0001
     6       0.1125      36.4202       0.0010       0.0005       0.0010       0.0001
     7       0.1375      36.3315       0.0010       0.0005       0.0010       0.0001
     8       0.1625      36.2268       0.0010       0.0005       0.0010       0.0001
     9       0.1875      36.1059       0.0010       0.0005       0.0010       0.0001
    10       0.2125      35.9688       0.0010       0.0005       0.0010       0.0001
    11       0.2375      35.8155       0.0010       0.0005       0.0010       0.0001
    12       0.2625      35.6460       0.0010       0.0005       0.0010       0.0001
    13       0.2875      35.4604       0.0010       0.0005       0.0010       0.0001
    14       0.3125      35.2586       0.0010       0.0005       0.0010       0.0001
    15       0.3375      35.0408       0.0010       0.0005       0.0010       0.0001
    16       0.3625      34.8070       0.0010       0.0005       0.0010       0.0001
    17       0.3875      34.5572       0.0010       0.0005       0.0010       0.0001
    18       0.4125      34.2916       0.0010       0.0005       0.0010       0.0001
    19       0.4375      34.0102       0.0010       0.0005       0.0010       0.0001
    20       0.4625      33.7133       0.0010       0.0005       0.0010       0.0001
    21       0.4875      33.4008       0.0010       0.0005       0.0010       0.0001
    22       0.5125      33.0730       0.0010       0.0005       0.0010       0.0001
    23       0.5375      32.7299       0.0010       0.0005       0.0010       0.0001
    24       0.5625      32.3717       0.0010       0.0005       0.0010       0.0001
    25       0.5875      31.9987       0.0010       0.0005       0.0010       0.0001
    26       0.6125      31.6109       0.0010       0.0005       0.0010       0.0001
    27       0.6375      31.2086       0.0010       0.0005       0.0010       0.0001
    28       0.6625      30.7920       0.0010       0.0005       0.0010       0.0001
    29       0.6875      30.3612       0.0010       0.0005       0.0010       0.0001
    30       0.7125      29.9165       0.0010       0.0005       0.0010       0.0001
    31       0.7375      29.4581       0.0010       0.0005       0.0010       0.0001
    32       0.7625      28.9862       0.0010       0.0005       0.0010       0.0001
    33       0.7875      28.5012       0.0010       0.0005       0.0010       0.0001
    34       0.8125      28.0032       0.0010       0.0005       0.0010       0.0001
    35       0.8375      27.4925       0.0010       0.0005       0.0010       0.0001
    36       0.8625      26.9694       0.0010       0.0005       0.0010       0.0001
    37       0.8875      26.4342       0.0010       0.0005       0.0010       0.0001
    38       0.9125      25.8872       0.0010       0.0005       0.0010       0.0001
    39       0.9375      25.3287       0.0010       0.0005       0.0010       0.0001
    40       0.9625      24.7590       0.0010       0.0005       0.0010       0.0000
    41       0.9875      24.1785       0.0020       0.0005       0.0015       0.0001
    42       1.0000      23.8800       0.0000       0.0020       0.0020       0.0000
     1       0.0000      28.1358       0.0020       0.0000       1.0000       0.0000
     2       0.0125      28.1358       0.0010       0.0010       0.0015       0.0001
     3       0.0375      28.1305       0.0010       0.0005       0.0010       0.0001
     4       0.0625      28.1109       0.0010       0.0005       0.0010       0.0001
     5       0.0875      28.0771       0.0010       0.0005       0.0010       0.0001
     6       0.1125      28.0294       0.0010       0.0005       0.0010       0.0001
     7       0.1375      27.9678       0.0010       0.0005       0.0010       0.0001
     8       0.1625      27.8927       0.0010       0.0005       0.0010       0.0001
     9       0.1875      27.8040       0.0010       0.0005       0.0010       0.0001
    10       0.2125      27.7019       0.0010       0.0005       0.0010       0.0001
    11       0.2375      27.5867       0.0010       0.0005       0.0010       0.0001
    12       0.2625      27.4583       0.0010       0.0005       0.0010       0.0001
    13       0.2875      27.3169       0.0010       0.0005       0.0010       0.0001
    14       0.3125      27.1627       0.0010       0.0005       0.0010       0.0001
    15       0.3375      26.9958       0.0010       0.0005       0.0010       0.0001
    16       0.3625      26.8162       0.0010       0.0005       0.0010       0.0001
    17       0.3875      26.6241       0.0010       0.0005       0.0010       0.0001
    18       0.4125      26.4196       0.0010       0.0005       0.0010       0.0001
    19       0.4375      26.2028       0.0010       0.0005       0.0010       0.0001
    20       0.4625      25.9739       0.0010       0.0005       0.0010       0.0001
    21       0.4875      25.7329       0.0010       0.0005       0.0010       0.0001
    22       0.5125      25.4800       0.0010       0.0005       0.0010       0.0001
    23       0.5375      25.2153       0.0010       0.0005       0.0010       0.0001
    24       0.5625      24.9389       0.0010       0.0005       0.0010       0.0001
    25       0.5875      24.6509       0.0010       0.0005       0.0010       0.0000
    26       0.6125      24.3516       0.0010       0.0005       0.0010       0.0000
    27       0.6375      24.0409       0.0010       0.0005       0.0010       0.0000
    28       0.6625      23.7191       0.0010       0.0005       0.0010       0.0000
    29       0.6875      23.3862       0.0010       0.0005       0.0010       0.0000
    30       0.7125      23.0424       0.0010       0.0005       0.0010       0.0000
    31       0.7375      22.6879       0.0010       0.0005       0.0010       0.0000
    32       0.7625      22.3227       0.0010       0.0005       0.0010       0.0000
    33       0.7875      21.9470       0.0010       0.0005       0.0010       0.0000
    34       0.8125      21.5609       0.0010       0.0005       0.0010       0.0000
    35       0.8375      21.1646       0.0010       0.0005       0.0010       0.0000
    36       0.8625      20.7581       0.0010       0.0005       0.0010       0.0000
    37       0.8875      20.3417       0.0010       0.0005       0.0010       0.0000
    38       0.9125      19.9154       0.0010       0.0005       0.0010       0.0000
    39       0.9375      19.4793       0.0010       0.0005       0.0010       0.0000
    40       0.9625      19.0335       0.0010       0.0005       0.0010       0.0000
    41       0.9875      18.5782       0.0020       0.0005       0.0015       0.0000
    42       1.0000      18.3489       0.0000       0.0020       0.0020       0.0000
     1       0.0000      21.7121       0.0020       0.0000       1.0000       0.0000
     2       0.0125      21.7121       0.0010       0.0010       0.0015       0.0000
     3       0.0375      21.6946       0.0010       0.0005       0.0010       0.0000
     4       0.0625      21.6684       0.0010       0.0005       0.0010       0.0000
     5       0.0875      21.6335       0.0010       0.0005       0.0010       0.0000
     6       0.1125      21.5896       0.0010       0.0005       0.0010       0.0000
     7       0.1375      21.5366       0.0010       0.0005       0.0010       0.0000
     8       0.1625      21.4743       0.0010       0.0005       0.0010       0.0000
     9       0.1875      21.4027       0.0010       0.0005       0.0010       0.0000
    10       0.2125      21.3216       0.0010       0.0005       0.0010       0.0000
