 # I XP T DE ATW ATP BT
     1       0.0000      80.0021       0.0020       0.0000       0.0000       0.0000
     2       0.0125      79.9974       0.0010       0.0000       0.0000       0.0000
     3       0.0375      79.9604       0.0010      -0.0000       0.0000       0.0000
     4       0.0625      79.8864       0.0010       0.0000       0.0000       0.0000
     5       0.0875      79.7755       0.0010       0.0000       0.0000       0.0000
     6       0.1125      79.6276       0.0010       0.0000       0.0000       0.0000
     7       0.1375      79.4430       0.0010       0.0000       0.0000       0.0000
     8       0.1625      79.2216       0.0010       0.0000       0.0000       0.0000
     9       0.1875      78.9635       0.0010          NaN       0.0000       0.0000
    10       0.2125      78.6689       0.0010       0.0000       0.0000       0.0000
    11       0.2375      78.3379       0.0010       0.0000       0.0000       0.0000
    12       0.2625      77.9707       0.0010       0.0000       0.0000       0.0000
    13       0.2875      77.5674       0.0010       0.0000       0.0000       0.0000
    14       0.3125      77.1283       0.0010       0.0000       0.0000       0.0000
    15       0.3375      76.6534       0.0010      -0.0000       0.0000       0.0000
    16       0.3625      76.1431       0.0010       0.0000       0.0000       0.0000
    17       0.3875      75.5976       0.0010       0.0000       0.0000       0.0000
    18       0.4125      75.0172       0.0010       0.0000       0.0000       0.0000
    19       0.4375      74.4020       0.0010      -0.0000       0.0000      -0.0000
    20       0.4625      73.7524       0.0010       0.0000       0.0000       0.0000
    21       0.4875      73.0687       0.0010       0.0000       0.0000      -0.0005
    22       0.5125      72.3512       0.0010       0.0000       0.0000       0.0000
    23       0.5375      71.6002       0.0010          NaN       0.0000       0.0000
    24       0.5625      70.8161       0.0010       0.0000       0.0000       0.0000
    25       0.5875      69.9993       0.0010 ************       0.0000       0.0000
    26       0.6125      69.1500       0.0010       0.0000       0.0000       0.0000
    27       0.6375      68.2688       0.0010      -0.0000       0.0000       0.0000
    28       0.6625      67.3560       0.0010       0.0000       0.0000       0.0000
    29       0.6875      66.4121       0.0010       0.0000       0.0000       0.0000
    30       0.7125      65.4374       0.0010       0.0000       0.0000       0.0000
    31       0.7375      64.4325       0.0010       0.0000       0.0000      -0.0000
    32       0.7625      63.3977       0.0010       0.0000       0.0000       0.0000
    33       0.7875      62.3337       0.0010       0.0000       0.0000      -0.0005
    34       0.8125      61.2408       0.0010       0.0000       0.0000       0.0000
    35       0.8375      60.1195       0.0010       0.0000       0.0000       0.0000
    36       0.8625      58.9705       0.0010       0.0000       0.0000       0.0000
    37       0.8875      57.7942       0.0010       0.0000       0.0000       0.0000
    38       0.9125      56.5912       0.0010       0.0000       0.0000       0.0000
    39       0.9375      55.3620       0.0010 ************       0.0000       0.0000
    40       0.9625      54.1071       0.0010       0.0000       0.0000       0.0000
    41       0.9875      52.8273       0.0020       0.0000       0.0000       0.0000
    42       1.0000      52.1781       0.0000       0.0000       0.0000       0.0000
     1       0.0000      75.0366       0.0020       0.0000       1.0000       0.0000
     2       0.0125      75.0366       0.0010       0.0010       0.0015       0.0006
     3       0.0375      74.9937       0.0010       0.0005       0.0010       0.0006
     4       0.0625      74.9171       0.0010       0.0005       0.0010       0.0006
     5       0.0875      74.8067       0.0010       0.0005       0.0010       0.0005
     6       0.1125      74.6625       0.0010       0.0005       0.0010       0.0005
     7       0.1375      74.4844       0.0010       0.0005       0.0010       0.0005
     8       0.1625      74.2724       0.0010       0.0005       0.0010       0.0005
     9       0.1875      74.0266       0.0010       0.0005       0.0010       0.0005
    10       0.2125      73.7471       0.0010       0.0005       0.0010       0.0005
    11       0.2375      73.4339       0.0010       0.0005       0.0010       0.0005
    12       0.2625      73.0871       0.0010       0.0005       0.0010       0.0005
    13       0.2875      72.7069       0.0010       0.0005       0.0010       0.0005
    14       0.3125      72.2933       0.0010       0.0005       0.0010       0.0005
    15       0.3375      71.8465       0.0010       0.0005       0.0010       0.0005
    16       0.3625      71.3668       0.0010       0.0005       0.0010       0.0005
    17       0.3875      70.8544       0.0010       0.0005       0.0010       0.0005
    18       0.4125      70.3093       0.0010       0.0005       0.0010       0.0005
    19       0.4375      69.7319       0.0010       0.0005       0.0010       0.0005
    20       0.4625      69.1225       0.0010       0.0005       0.0010       0.0005
    21       0.4875      68.4813       0.0010       0.0005       0.0010       0.0005
    22       0.5125      67.8085       0.0010       0.0005       0.0010       0.0005
    23       0.5375      67.1046       0.0010       0.0005       0.0010       0.0005
    24       0.5625      66.3697       0.0010       0.0005       0.0010       0.0005
    25       0.5875      65.6043       0.0010       0.0005       0.0010       0.0005
    26       0.6125      64.8088       0.0010       0.0005       0.0010       0.0005
    27       0.6375      63.9834       0.0010       0.0005       0.0010       0.0005
    28       0.6625      63.1286       0.0010       0.0005       0.0010       0.0005
    29       0.6875      62.2447       0.0010       0.0005       0.0010       0.0005
    30       0.7125      61.3323       0.0010       0.0005       0.0010       0.0005
    31       0.7375      60.3916       0.0010       0.0005       0.0010       0.0004
    32       0.7625      59.4233       0.0010       0.0005       0.0010       0.0004
    33       0.7875      58.4277       0.0010       0.0005       0.0010       0.0004
    34       0.8125      57.4053       0.0010       0.0005       0.0010       0.0004
    35       0.8375      56.3567       0.0010       0.0005       0.0010       0.0004
    36       0.8625      55.2822       0.0010       0.0005       0.0010       0.0004
    37       0.8875      54.1826       0.0010       0.0005       0.0010       0.0004
    38       0.9125      53.0582       0.0010       0.0005       0.0010       0.0004
    39       0.9375      51.9098       0.0010       0.0005       0.0010       0.0004
    40       0.9625      50.7378       0.0010       0.0005       0.0010       0.0004
    41       0.9875      49.5428       0.0020       0.0005       0.0015       0.0004
    42       1.0000      48.9312       0.0000       0.0020       0.0020       0.0000
     1       0.0000      70.2526       0.0020       0.0000       1.0000       0.0000
     2       0.0125      70.2526       0.0010       0.0010       0.0015       0.0005
     3       0.0375      70.2274       0.0010       0.0005       0.0010       0.0005
     4       0.0625      70.1680       0.0010       0.0005       0.0010       0.0005
     5       0.0875      70.0749       0.0010       0.0005       0.0010       0.0005
     6       0.1125      69.9481       0.0010       0.0005       0.0010       0.0005
     7       0.1375      69.7882       0.0010       0.0005       0.0010       0.0005
     8       0.1625      69.5952       0.0010       0.0005       0.0010       0.0005
     9       0.1875      69.3695       0.0010       0.0005       0.0010       0.0005
    10       0.2125      69.1112       0.0010       0.0005       0.0010       0.0005
    11       0.2375      68.8205       0.0010       0.0005       0.0010       0.0005
    12       0.2625      68.4978       0.0010       0.0005       0.0010       0.0005
    13       0.2875      68.1432       0.0010       0.0005       0.0010       0.0005
    14       0.3125      67.7570       0.0010       0.0005       0.0010       0.0005
    15       0.3375      67.3393       0.0010       0.0005       0.0010       0.0005
    16       0.3625      66.8905       0.0010       0.0005       0.0010       0.0005
    17       0.3875      66.4107       0.0010       0.0005       0.0010       0.0005
    18       0.4125      65.9001       0.0010       0.0005       0.0010       0.0005
    19       0.4375      65.3592       0.0010       0.0005       0.0010       0.0005
    20       0.4625      64.7880       0.0010       0.0005       0.0010       0.0005
    21       0.4875      64.1870       0.0010       0.0005       0.0010       0.0005
    22       0.5125      63.5563       0.0010       0.0005       0.0010       0.0005
    23       0.5375      62.8963       0.0010       0.0005       0.0010       0.0005
    24       0.5625      62.2073       0.0010       0.0005       0.0010       0.0005
    25       0.5875      61.4895       0.0010       0.0005       0.0010       0.0005
    26       0.6125      60.7434       0.0010       0.0005       0.0010       0.0004
    27       0.6375      59.9692       0.0010       0.0005       0.0010       0.0004
    28       0.6625      59.1673       0.0010       0.0005       0.0010       0.0004
    29       0.6875      58.3380       0.0010       0.0005       0.0010       0.0004
    30       0.7125      57.4817       0.0010       0.0005       0.0010       0.0004
    31       0.7375      56.5988       0.0010       0.0005       0.0010       0.0004
    32       0.7625      55.6895       0.0010       0.0005       0.0010       0.0004
    33       0.7875      54.7544       0.0010       0.0005       0.0010       0.0004
    34       0.8125      53.7938       0.0010       0.0005       0.0010       0.0004
    35       0.8375      52.8081       0.0010       0.0005       0.0010       0.0004
    36       0.8625      51.7975       0.0010       0.0005       0.0010       0.0004
    37       0.8875      50.7626       0.0010       0.0005       0.0010       0.0004
    38       0.9125      49.7037       0.0010       0.0005       0.0010       0.0004
    39       0.9375      48.6212       0.0010       0.0005       0.0010       0.0004
    40       0.9625      47.5154       0.0010       0.0005       0.0010       0.0003
    41       0.9875      46.3866       0.0020       0.0005       0.0015       0.0003
    42       1.0000      45.8139       0.0000       0.0020       0.0020       0.0000
     1       0.0000      65.8648       0.0020       0.0000       1.0000       0.0000
     2       0.0125      65.8648       0.0010       0.0010       0.0015       0.0005
     3       0.0375      65.8276       0.0010       0.0005       0.0010       0.0005
     4       0.0625      65.7618       0.0010       0.0005       0.0010       0.0005
     5       0.0875      65.6672       0.0010       0.0005       0.0010       0.0005
     6       0.1125      65.5433       0.0010       0.0005       0.0010       0.0005
     7       0.1375      65.3900       0.0010       0.0005       0.0010       0.0005
     8       0.1625      65.2070       0.0010       0.0005       0.0010       0.0005
     9       0.1875      64.9943       0.0010       0.0005       0.0010       0.0005
    10       0.2125      64.7519       0.0010       0.0005       0.0010       0.0005
    11       0.2375      64.4798       0.0010       0.0005       0.0010       0.0005
    12       0.2625      64.1780       0.0010       0.0005       0.0010       0.0005
    13       0.2875      63.8465       0.0010       0.0005       0.0010       0.0005
    14       0.3125      63.4855       0.0010       0.0005       0.0010       0.0005
    15       0.3375      63.0951       0.0010       0.0005       0.0010       0.0005
    16       0.3625      62.6755       0.0010       0.0005       0.0010       0.0005
    17       0.3875      62.2269       0.0010       0.0005       0.0010       0.0005
    18       0.4125      61.7493       0.0010       0.0005       0.0010       0.0005
    19       0.4375      61.2432       0.0010       0.0005       0.0010       0.0005
    20       0.4625      60.7086       0.0010       0.0005       0.0010       0.0004
    21       0.4875      60.1458       0.0010       0.0005       0.0010       0.0004
    22       0.5125      59.5552       0.0010       0.0005       0.0010       0.0004
    23       0.5375      58.9369       0.0010       0.0005       0.0010       0.0004
    24       0.5625      58.2913       0.0010       0.0005       0.0010       0.0004
    25       0.5875      57.6186       0.0010       0.0005       0.0010       0.0004
    26       0.6125      56.9193       0.0010       0.0005       0.0010       0.0004
    27       0.6375      56.1935       0.0010       0.0005       0.0010       0.0004
    28       0.6625      55.4417       0.0010       0.0005       0.0010       0.0004
    29       0.6875      54.6642       0.0010       0.0005       0.0010       0.0004
    30       0.7125      53.8615       0.0010       0.0005       0.0010       0.0004
    31       0.7375      53.0338       0.0010       0.0005       0.0010       0.0004
    32       0.7625      52.1817       0.0010       0.0005       0.0010       0.0004
    33       0.7875      51.3055       0.0010       0.0005       0.0010       0.0004
    34       0.8125      50.4058       0.0010       0.0005       0.0010       0.0004
    35       0.8375      49.4829       0.0010       0.0005       0.0010       0.0004
    36       0.8625      48.5375       0.0010       0.0005       0.0010       0.0004
    37       0.8875      47.5700       0.0010       0.0005       0.0010       0.0003
    38       0.9125      46.5811       0.0010       0.0005       0.0010       0.0003
    39       0.9375      45.5714       0.0010       0.0005       0.0010       0.0003
    40       0.9625      44.5415       0.0010       0.0005       0.0010       0.0003
    41       0.9875      43.4922       0.0020       0.0005       0.0015       0.0003
    42       1.0000      42.9553       0.0000       0.0020       0.0020       0.0000
     1       0.0000      61.6927       0.0020       0.0000       1.0000       0.0000
     2       0.0125      61.6927       0.0010       0.0010       0.0015       0.0005
     3       0.0375      61.6706       0.0010       0.0005       0.0010       0.0005
     4       0.0625      61.6177       0.0010       0.0005       0.0010       0.0005
     5       0.0875      61.5348       0.0010       0.0005       0.0010       0.0005
     6       0.1125      61.4223       0.0010       0.0005       0.0010       0.0005
     7       0.1375      61.2805       0.0010       0.0005       0.0010       0.0005
     8       0.1625      61.1099       0.0010       0.0005       0.0010       0.0004
     9       0.1875      60.9106       0.0010       0.0005       0.0010       0.0004
    10       0.2125      60.6829       0.0010       0.0005       0.0010       0.0004
    11       0.2375      60.4271       0.0010       0.0005       0.0010       0.0004
    12       0.2625      60.1432       0.0010       0.0005       0.0010       0.0004
    13       0.2875      59.8315       0.0010       0.0005       0.0010       0.0004
    14       0.3125      59.4922       0.0010       0.0005       0.0010       0.0004
    15       0.3375      59.1254       0.0010       0.0005       0.0010       0.0004
    16       0.3625      58.7314       0.0010       0.0005       0.0010       0.0004
    17       0.3875      58.3102       0.0010       0.0005       0.0010       0.0004
    18       0.4125      57.8622       0.0010       0.0005       0.0010       0.0004
    19       0.4375      57.3874       0.0010       0.0005       0.0010       0.0004
    20       0.4625      56.8862       0.0010       0.0005       0.0010       0.0004
    21       0.4875      56.3587       0.0010       0.0005       0.0010       0.0004
    22       0.5125      55.8052       0.0010       0.0005       0.0010       0.0004
    23       0.5375      55.2260       0.0010       0.0005       0.0010       0.0004
    24       0.5625      54.6212       0.0010       0.0005       0.0010       0.0004
    25       0.5875      53.9913       0.0010       0.0005       0.0010       0.0004
    26       0.6125      53.3364       0.0010       0.0005       0.0010       0.0004
    27       0.6375      52.6569       0.0010       0.0005       0.0010       0.0004
    28       0.6625      51.9531       0.0010       0.0005       0.0010       0.0004
    29       0.6875      51.2253       0.0010       0.0005       0.0010       0.0004
    30       0.7125      50.4739       0.0010       0.0005       0.0010       0.0004
    31       0.7375      49.6991       0.0010       0.0005       0.0010       0.0004
    32       0.7625      48.9013       0.0010       0.0005       0.0010       0.0004
    33       0.7875      48.0808       0.0010       0.0005       0.0010       0.0004
    34       0.8125      47.2381       0.0010       0.0005       0.0010       0.0003
    35       0.8375      46.3733       0.0010       0.0005       0.0010       0.0003
    36       0.8625      45.4868       0.0010       0.0005       0.0010       0.0003
    37       0.8875      44.5789       0.0010       0.0005       0.0010       0.0003
    38       0.9125      43.6499       0.0010       0.0005       0.0010       0.0003
    39       0.9375      42.7000       0.0010       0.0005       0.0010       0.0003
    40       0.9625      41.7294       0.0010       0.0005       0.0010       0.0003
    41       0.9875      40.7381       0.0020       0.0005       0.0015       0.0003
    42       1.0000      40.2352       0.0000       0.0020       0.0020       0.0000
     1       0.0000      57.8313       0.0020       0.0000       1.0000       0.0000
     2       0.0125      57.8313       0.0010       0.0010       0.0015       0.0004
     3       0.0375      57.7985       0.0010       0.0005       0.0010       0.0004
     4       0.0625      57.7412       0.0010       0.0005       0.0010       0.0004
     5       0.0875      57.6589       0.0010       0.0005       0.0010       0.0004
     6       0.1125      57.5509       0.0010       0.0005       0.0010       0.0004
     7       0.1375      57.4170       0.0010       0.0005       0.0010       0.0004
     8       0.1625      57.2571       0.0010       0.0005       0.0010       0.0004
     9       0.1875      57.0709       0.0010       0.0005       0.0010       0.0004
    10       0.2125      56.8585       0.0010       0.0005       0.0010       0.0004
