 # I XP P U DE ATW ATP BT
     1       0.0000  136781.7500      10.0000       0.0000       0.0000 ************       0.0000
     2       0.2000  129942.6406      10.0000       0.0000       0.0000       0.0000       0.0000
     3       0.6000  116264.3828      10.0000       0.0000       0.0000       0.0000       0.0000
     4       1.0000  102586.1562      10.0000       0.0000       0.0000       0.0000       0.0000
     5       1.4000   88908.2109      10.0000       0.0000       0.0000          NaN       0.0000
     6       1.8000   75230.1406      10.0000       0.0000       0.0000          NaN       0.0000
     7       2.2000   61551.6602      10.0000       0.0000       0.0000 ************       0.0000
     8       2.6000   47873.3398      10.0000       0.0000       0.0000       0.0000       0.0000
     9       3.0000   34195.4062      10.0000       0.0000       0.0000 ************       0.0000
    10       3.4000   20517.3438      10.0000       0.0000       0.0000       0.0000       0.0000
    11       3.8000    6839.0625      10.0000       0.0000       0.0000 ************       0.0000
    12       4.0000       0.0000      10.0000       0.0000       0.0000       0.0000       0.0000
