 # I XP T DE ATW ATP BT
    14    0.31250   59.46220    0.00100    0.00100    0.00200    0.00012
    15    0.33750   59.09610    0.00100    0.00100    0.00200    0.00012
    16    0.36250   58.70267    0.00100    0.00100    0.00200    0.00012
    17    0.38750   58.28209    0.00100    0.00100    0.00200    0.00012
    18    0.41250   57.83455    0.00100    0.00100    0.00200    0.00012
    19    0.43750   57.36024    0.00100    0.00100    0.00200    0.00012
    20    0.46250   56.85942    0.00100    0.00100    0.00200    0.00011
    21    0.48750   56.33229    0.00100    0.00100    0.00200    0.00011
    22    0.51250   55.77910    0.00100    0.00100    0.00200    0.00011
    23    0.53750   55.20010    0.00100    0.00100    0.00200    0.00011
    24    0.56250   54.59558    0.00100    0.00100    0.00200    0.00011
    25    0.58750   53.96581    0.00100    0.00100    0.00200    0.00011
    26    0.61250   53.31106    0.00100    0.00100    0.00200    0.00011
    27    0.63750   52.63165    0.00100    0.00100    0.00200    0.00011
    28    0.66250   51.92790    0.00100    0.00100    0.00200    0.00010
    29    0.68750   51.20012    0.00100    0.00100    0.00200    0.00010
    30    0.71250   50.44867    0.00100    0.00100    0.00200    0.00010
    31    0.73750   49.67387    0.00100    0.00100    0.00200    0.00010
    32    0.76250   48.87610    0.00100    0.00100    0.00200    0.00010
    33    0.78750   48.05572    0.00100    0.00100    0.00200    0.00010
    34    0.81250   47.21310    0.00100    0.00100    0.00200    0.00010
    35    0.83750   46.34866    0.00100    0.00100    0.00200    0.00009
    36    0.86250   45.46276    0.00100    0.00100    0.00200    0.00009
    37    0.88750   44.55584    0.00100    0.00100    0.00200    0.00009
    38    0.91250   43.62831    0.00100    0.00100    0.00200    0.00009
    39    0.93750   42.68060    0.00100    0.00100    0.00200    0.00009
    40    0.96250   41.71315    0.00100    0.00100    0.00200    0.00008
    41    0.98750   40.72640    0.00200    0.00100    0.00300    0.00008
    42    1.00000   40.22361    0.00000    0.00200    0.00203    0.00000
     1    0.00000   47.54792    0.00200    0.00000    1.00000    0.00000
     2    0.01250   47.54792    0.00100    0.00200    0.00300    0.00010
     3    0.03750   47.52593    0.00100    0.00100    0.00200    0.00010
     4    0.06250   47.48195    0.00100    0.00100    0.00200    0.00010
     5    0.08750   47.41600    0.00100    0.00100    0.00200    0.00010
     6    0.11250   47.32812    0.00100    0.00100    0.00200    0.00010
     7    0.13750   47.21835    0.00100    0.00100    0.00200    0.00010
     8    0.16250   47.08672    0.00100    0.00100    0.00200    0.00010
     9    0.18750   46.93331    0.00100    0.00100    0.00200    0.00009
    10    0.21250   46.75819    0.00100    0.00100    0.00200    0.00009
    11    0.23750   46.56144    0.00100    0.00100    0.00200    0.00009
    12    0.26250   46.34315    0.00100    0.00100    0.00200    0.00009
    13    0.28750   46.10343    0.00100    0.00100    0.00200    0.00009
    14    0.31250   45.84238    0.00100    0.00100    0.00200    0.00009
    15    0.33750   45.56013    0.00100    0.00100    0.00200    0.00009
    16    0.36250   45.25681    0.00100    0.00100    0.00200    0.00009
    17    0.38750   44.93256    0.00100    0.00100    0.00200    0.00009
    18    0.41250   44.58752    0.00100    0.00100    0.00200    0.00009
    19    0.43750   44.22185    0.00100    0.00100    0.00200    0.00009
    20    0.46250   43.83574    0.00100    0.00100    0.00200    0.00009
    21    0.48750   43.42934    0.00100    0.00100    0.00200    0.00009
    22    0.51250   43.00285    0.00100    0.00100    0.00200    0.00009
    23    0.53750   42.55647    0.00100    0.00100    0.00200    0.00009
