 # I XP P U DE ATW ATP BT
     1       0.0000      -0.0156      10.0000       0.0000       0.0000 ************       0.0000
     2       0.2000      -0.0156      10.0000       0.0000       0.0000       0.0000       0.0000
     3       0.6000      -0.0391      10.0000       0.0000       0.0000       0.0000       0.0000
     4       1.0000      -0.0430      10.0000       0.0000       0.0000       0.0000       0.0000
     5       1.4000      -0.0430      10.0000       0.0000       0.0000          NaN       0.0000
     6       1.8000      -0.0430      10.0000       0.0000       0.0000          NaN       0.0000
     7       2.2000      -0.0352      10.0000       0.0000       0.0000 ************       0.0000
     8       2.6000      -0.0312      10.0000       0.0000       0.0000       0.0000       0.0000
     9       3.0000      -0.0234      10.0000       0.0000       0.0000 ************       0.0000
    10       3.4000      -0.0107      10.0000       0.0000       0.0000       0.0000       0.0000
    11       3.8000      -0.0122      10.0000       0.0000       0.0000 ************       0.0000
    12       4.0000       0.0000      10.0000       0.0000       0.0000       0.0000       0.0000
