 # I XP T DE ATW ATP BT
     1    0.00000  373.14999    0.52499    0.00000    1.00000  373.14999
     2    0.07143  345.27762    0.26249    0.52499    0.95892   51.11245
     3    0.21429  320.31140    0.26249    0.26249    0.69642   51.11245
     4    0.35715  309.81851    0.26249    0.26249    0.69642   51.11245
     5    0.50001  306.94620    0.26249    0.26249    0.69642   51.11245
     6    0.64287  309.81854    0.26249    0.26249    0.69642   51.11245
     7    0.78573  320.31143    0.26249    0.26249    0.69642   51.11245
     8    0.92859  345.27762    0.52499    0.26249    0.95892   51.11247
     9    1.00002  373.14999 -389.51367    0.00000    1.00000  373.14999
