 Preconditioned BiConjugate Gradient for N, ITOL =  1600    1
 ITER   Error Estimate            Alpha             Beta
  107         Infinity   -0.1006041E+00   -0.3155427E+02
  108         Infinity   -0.1609967E+01   -0.1140330E+00
  109         Infinity    0.1075108E+00    0.6960414E+01
  110         Infinity    0.1245463E+01   -0.2722661E+00
  111         Infinity    0.3935504E+00   -0.3026246E+02
  112         Infinity    0.8808662E-01   -0.5752184E+01
  113         Infinity    0.5745412E-01   -0.5323717E+00
  114         Infinity    0.8522022E+00   -0.6791665E-03
  115         Infinity    0.1499403E-01   -0.4664897E+02
  116         Infinity    0.5474168E+00    0.1415273E-01
  117         Infinity   -0.1500398E+01    0.1085854E+00
  118         Infinity   -0.3393594E+00   -0.1508624E+02
  119         Infinity    0.1463144E+00   -0.8721422E+00
  120         Infinity    0.1681283E+00   -0.2085536E+01
  121         Infinity    0.2368482E+00   -0.2292504E-01
  122         Infinity    0.5802435E+00   -0.3494748E+00
  123         Infinity   -0.3931352E+00   -0.3787559E+00
  124         Infinity   -0.6509329E+01    0.7412536E+01
  125         Infinity   -0.1597613E-02   -0.4130077E+04
  126         Infinity    0.4441335E+00   -0.1064546E-04
  127         Infinity    0.1521527E+00    0.3199988E+00
  128         Infinity    0.2515538E+00    0.6322272E+00
  129         Infinity   -0.1528141E-01    0.8042584E-01
  130         Infinity    0.1647844E+02   -0.1044184E+01
  131         Infinity   -0.2750127E+00    0.8255628E+02
  132         Infinity    0.8736980E+00    0.7139122E-01
  133         Infinity    0.8476291E-01   -0.6058486E+01
  134         Infinity   -0.5377652E-01    0.4663425E-02
  135         Infinity   -0.1997241E+01   -0.1200464E+01
  136         Infinity   -0.5417913E+00   -0.4396388E+01
  137         Infinity   -0.3861526E-01    0.1269662E+01
  138         Infinity    0.4073433E+01   -0.4490462E+00
  139         Infinity   -0.1193493E+00    0.1717805E+02
  140         Infinity    0.3797609E+00   -0.8408532E+00
  141         Infinity    0.2081260E+00    0.1999940E+01
  142         Infinity   -0.5017761E+00    0.3720445E+00
  143         Infinity   -0.8534729E+00   -0.3444753E+01
  144         Infinity    0.2293703E+01   -0.8542516E+00
  145         Infinity    0.7167896E-01   -0.3071325E+02
  146         Infinity    0.1976172E+00   -0.2828496E-01
  147         Infinity    0.4160485E-01   -0.3985228E-01
  148         Infinity    0.3474469E+01   -0.8888574E+00
  149         Infinity    0.1667556E+01    0.2344971E+01
  150         Infinity   -0.2252346E-01    0.4364929E+01
  151         Infinity    0.3270859E+00   -0.5254318E+00
  152         Infinity   -0.3029345E+00    0.1090808E+01
  153         Infinity   -0.1381758E+00   -0.3685590E+01
  154         Infinity    0.6511396E-01    0.7954106E-01
  155         Infinity    0.4088124E+02   -0.1527573E+00
  156         Infinity   -0.2829468E+00   -0.1908048E+03
  157         Infinity   -0.3692968E-01   -0.1174387E+02
  158         Infinity   -0.1230472E+01    0.3931302E-02
  159         Infinity   -0.5584339E+00   -0.7077141E+01
  160         Infinity    0.2836935E+00    0.2907676E+00
  161         Infinity    0.4110150E+00   -0.5302619E+00
  162         Infinity   -0.2752502E+00    0.1413919E+01
  163         Infinity   -0.6952317E+00   -0.1083685E+01
  164         Infinity   -0.2459067E+00    0.9808062E+01
  165         Infinity   -0.5329630E+00   -0.6776883E+00
