    I     J        X             Y             P             U             V             T
   19     2   4.37500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93386E+02
   20     2   4.62500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93358E+02
   21     2   4.87500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93345E+02
   22     2   5.12500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93345E+02
   23     2   5.37500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93358E+02
   24     2   5.62500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93386E+02
   25     2   5.87500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93430E+02
   26     2   6.12500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93493E+02
   27     2   6.37500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93580E+02
   28     2   6.62500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93697E+02
   29     2   6.87500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93853E+02
   30     2   7.12500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94059E+02
   31     2   7.37500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94330E+02
   32     2   7.62500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94686E+02
   33     2   7.87500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95152E+02
   34     2   8.12500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95763E+02
   35     2   8.37500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96565E+02
   36     2   8.62500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97616E+02
   37     2   8.87500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98996E+02
   38     2   9.12500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.00808E+02
   39     2   9.37500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.03190E+02
   40     2   9.62500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.06320E+02
   41     2   9.87500E-03   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10439E+02
   42     2   1.00000E-02   1.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    1     3   0.00000E+00   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    2     3   1.25000E-04   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10795E+02
    3     3   3.75000E-04   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.07070E+02
    4     3   6.25000E-04   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.04126E+02
    5     3   8.75000E-04   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.01801E+02
    6     3   1.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.99966E+02
    7     3   1.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98518E+02
    8     3   1.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97378E+02
    9     3   1.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96479E+02
