 # I XP T DE ATW ATP BT
     1    0.00000  373.14999    1.85759    0.00000    1.00000  373.14999
     2    0.00161  372.29163    0.92879    1.85759    2.78793    0.46225
     3    0.00484  370.69873    0.92879    0.92879    1.85914    0.46225
     4    0.00807  369.22693    0.92879    0.92879    1.85914    0.46225
     5    0.01130  367.87381    0.92879    0.92879    1.85914    0.46225
     6    0.01453  366.63708    0.92879    0.92879    1.85914    0.46225
     7    0.01777  365.51468    0.92879    0.92879    1.85914    0.46225
     8    0.02099  364.50473    0.92879    0.92879    1.85914    0.46225
     9    0.02423  363.60556    0.92879    0.92879    1.85914    0.46225
    10    0.02745  362.81564    0.92879    0.92879    1.85914    0.46225
    11    0.03069  362.13373    0.92879    0.92879    1.85914    0.46225
    12    0.03391  361.55862    0.92879    0.92879    1.85914    0.46225
    13    0.03714  361.08942    0.92879    0.92879    1.85914    0.46225
    14    0.04037  360.72531    0.92879    0.92879    1.85914    0.46225
    15    0.04360  360.46570    0.92879    0.92879    1.85914    0.46225
    16    0.04683  360.31009    0.92879    0.92879    1.85914    0.46225
    17    0.05006  360.25827    0.92879    0.92879    1.85914    0.46225
    18    0.05329  360.31012    0.92879    0.92879    1.85914    0.46225
    19    0.05652  360.46579    0.92879    0.92879    1.85914    0.46225
    20    0.05975  360.72546    0.92879    0.92879    1.85913    0.46225
    21    0.06299  361.08963    0.92880    0.92879    1.85914    0.46225
    22    0.06621  361.55884    0.92879    0.92880    1.85914    0.46225
    23    0.06944  362.13394    0.92879    0.92879    1.85913    0.46225
    24    0.07268  362.81586    0.92880    0.92879    1.85914    0.46225
    25    0.07590  363.60568    0.92879    0.92880    1.85914    0.46225
    26    0.07914  364.50479    0.92880    0.92879    1.85914    0.46225
    27    0.08236  365.51471    0.92879    0.92880    1.85914    0.46225
    28    0.08559  366.63712    0.92879    0.92879    1.85913    0.46225
    29    0.08883  367.87384    0.92880    0.92879    1.85914    0.46225
    30    0.09205  369.22696    0.92879    0.92880    1.85914    0.46225
    31    0.09528  370.69873    0.92879    0.92879    1.85913    0.46225
    32    0.09852  372.29166    1.85759    0.92879    2.78793    0.46225
    33    0.10013  373.14999 **********    0.00000    1.00000  373.14999
