 # I XP P U DE ATW ATP BT
     1       0.0000   11644.9316       2.0000       0.0001       0.0000 ************       0.0000
     2       0.0312   11644.9316       2.0729       0.0000       0.0000       0.0000       0.0000
     3       0.0938   10649.5508       2.5023       0.0000       0.0000       0.0000       0.0000
     4       0.1562    8846.3574       3.2679       0.0000       0.0000       0.0000       0.0000
     5       0.2188    4847.4233       4.5910       0.0000       0.0000          NaN       0.0000
     6       0.2812   -4081.8037       6.6946       0.0000       0.0000          NaN       0.0000
     7       0.3438  -23315.4102       9.6355       0.0000       0.0000 ************       0.0000
     8       0.4062  -59794.1094      13.0787       0.0000       0.0000       0.0000       0.0000
     9       0.4688 -108345.6875      15.8902       0.0000       0.0000 ************       0.0000
    10       0.5312 -126077.5391      16.5693       0.0000       0.0000       0.0000       0.0000
    11       0.5938  -84472.8516      14.0964       0.0000       0.0000 ************       0.0000
    12       0.6562  -36736.6055       9.7999       0.0000       0.0000       0.0000       0.0000
    13       0.7188  -13191.4727       6.1890       0.0000       0.0000 ************       0.0000
    14       0.7812   -4598.6230       4.0347       0.0000       0.0000       0.0000          NaN
    15       0.8438   -1522.4287       2.8878       0.0000       0.0000       0.0000      -0.0000
    16       0.9062    -334.6387       2.3618       0.0000       0.0000       0.0000       0.0000
    17       0.9688      -9.9791       2.1165       0.0001       0.0000 ************       0.0000
    18       1.0000       0.0000       2.1165       0.0000       0.0000       0.0000       0.0000
