 # I XP P U DE ATW ATP BT
     1       0.0000    5314.5293       2.0000       0.0000       0.0000 ************       0.0000
     2       0.0625    5314.5293       2.2306       0.0000       0.0000       0.0000       0.0000
     3       0.1875    4287.2744       2.9382       0.0000       0.0000       0.0000       0.0000
     4       0.3125    1471.7671       4.0735       0.0000       0.0000       0.0000       0.0000
     5       0.4375   -4505.5571       5.0933       0.0000       0.0000          NaN       0.0000
     6       0.5625   -9975.9648       5.1774       0.0000       0.0000          NaN       0.0000
     7       0.6875   -6180.0664       4.0095       0.0000       0.0000 ************       0.0000
     8       0.8125   -1965.7646       2.8304       0.0000       0.0000       0.0000       0.0000
     9       0.9375    -376.0092       2.2582       0.0000       0.0000 ************       0.0000
    10       1.0000       0.0000       2.2582       0.0000       0.0000       0.0000       0.0000
