 # I XP P U DE ATW ATP BT
     1       0.0000    5891.1782       2.0000       0.0002       0.0000 ************       0.0000
     2       0.0156    5891.1782       2.0007       0.0001       0.0000       0.0000       0.0000
     3       0.0469    5713.7036       2.0874       0.0001       0.0000       0.0000       0.0000
     4       0.0781    5460.8608       2.2065       0.0001       0.0000       0.0000       0.0000
     5       0.1094    5029.8203       2.3961       0.0001       0.0000          NaN       0.0000
     6       0.1406    4341.9160       2.6728       0.0001       0.0000          NaN       0.0000
     7       0.1719    3263.0957       3.0597       0.0001       0.0000 ************       0.0000
     8       0.2031    1568.6851       3.5900       0.0000       0.0000       0.0000       0.0000
     9       0.2344   -1114.8590       4.3056       0.0000       0.0000 ************       0.0000
    10       0.2656   -5395.6509       5.2583       0.0000       0.0000       0.0000       0.0000
    11       0.2969  -12224.0098       6.5003       0.0000       0.0000 ************       0.0000
    12       0.3281  -22963.5977       8.0730       0.0000       0.0000       0.0000       0.0000
    13       0.3594  -39257.4844       9.9743       0.0000       0.0000 ************       0.0000
    14       0.3906  -62335.7656      12.1228       0.0000       0.0000       0.0000          NaN
    15       0.4219  -91382.0703      14.3108       0.0000       0.0000       0.0000      -0.0000
    16       0.4531 -121323.6953      16.1994       0.0000       0.0000       0.0000       0.0000
    17       0.4844 -142440.2500      17.3704       0.0000       0.0000 ************       0.0000
    18       0.5156 -145063.1875      17.4901       0.0000       0.0000       0.0000       0.0000
    19       0.5469 -127528.8750      16.4701       0.0000       0.0000 ************       0.0000
    20       0.5781  -98152.6250      14.5750       0.0000       0.0000       0.0000       0.0000
    21       0.6094  -68132.2969      12.2549       0.0000       0.0000 ************       0.0000
    22       0.6406  -44159.4531       9.9750       0.0000       0.0000       0.0000       0.0000
    23       0.6719  -27569.1250       7.9763       0.0000       0.0000 ************       0.0000
    24       0.7031  -16940.8418       6.3796       0.0000       0.0000       0.0000       0.0000
    25       0.7344  -10376.1650       5.1316       0.0000       0.0000       0.0000       0.0000
    26       0.7656   -6354.9658       4.2102       0.0000       0.0000       0.0000       0.0000
    27       0.7969   -3877.3984       3.5079       0.0001       0.0000          NaN       0.0000
    28       0.8281   -2328.4653       3.0104       0.0001       0.0000          NaN       0.0000
    29       0.8594   -1347.1804       2.6291       0.0001       0.0000 ************       0.0000
    30       0.8906    -721.6148       2.3770       0.0001       0.0000       0.0000       0.0000
    31       0.9219    -330.1808       2.1857       0.0001          NaN ************       0.0000
    32       0.9531    -104.2075       2.0876       0.0001       0.0000       0.0000       0.0000
    33       0.9844     -12.0389       2.0289       0.0002       0.0000 ************       0.0000
    34       1.0000       0.0000       2.0289       0.0000       0.0000       0.0000       0.0000
