 # I XP P U DE ATW ATP BT
     1       0.0000   18194.2500       2.0000       0.0004       0.0000 ************       0.0000
     2       0.0078   18194.2500       2.0046       0.0002       0.0000       0.0000       0.0000
     3       0.0234   18175.5059       2.0194       0.0002       0.0000       0.0000       0.0000
     4       0.0391   18134.1758       2.0462       0.0002       0.0000       0.0000       0.0000
     5       0.0547   18064.6113       2.0866       0.0002       0.0000          NaN       0.0000
     6       0.0703   17963.0391       2.1417       0.0002       0.0000          NaN       0.0000
     7       0.0860   17824.8398       2.2126       0.0002       0.0000 ************       0.0000
     8       0.1016   17643.8008       2.3007       0.0002       0.0000       0.0000       0.0000
     9       0.1172   17411.6582       2.4077       0.0001       0.0000 ************       0.0000
    10       0.1329   17117.5059       2.5361       0.0001       0.0000       0.0000       0.0000
    11       0.1485   16747.0449       2.6884       0.0001       0.0000 ************       0.0000
    12       0.1641   16281.5645       2.8680       0.0001       0.0000       0.0000       0.0000
    13       0.1797   15696.5947       3.0787       0.0001       0.0000 ************       0.0000
    14       0.1954   14960.1221       3.3250       0.0001       0.0000       0.0000          NaN
    15       0.2110   14030.2559       3.6124       0.0001       0.0000       0.0000      -0.0000
    16       0.2266   12852.2295       3.9470       0.0001       0.0000       0.0000       0.0000
    17       0.2423   11354.6309       4.3358       0.0001       0.0000 ************       0.0000
    18       0.2579    9444.8164       4.7865       0.0001       0.0000       0.0000       0.0000
    19       0.2735    7003.6230       5.3074       0.0001       0.0000 ************       0.0000
    20       0.2892    3879.8530       5.9073       0.0001       0.0000       0.0000       0.0000
    21       0.3048    -114.4059       6.5944       0.0001       0.0000 ************       0.0000
    22       0.3204   -5205.7246       7.3756       0.0000       0.0000       0.0000       0.0000
    23       0.3360  -11654.8965       8.2554       0.0000       0.0000 ************       0.0000
    24       0.3517  -19741.2305       9.2336       0.0000       0.0000       0.0000       0.0000
    25       0.3673  -29728.7031      10.3033       0.0000       0.0000       0.0000       0.0000
    26       0.3829  -41807.2852      11.4483       0.0000       0.0000       0.0000       0.0000
    27       0.3986  -56006.0000      12.6409       0.0000       0.0000          NaN       0.0000
    28       0.4142  -72084.1875      13.8402       0.0000       0.0000          NaN       0.0000
    29       0.4298  -89423.9609      14.9923       0.0000       0.0000 ************       0.0000
    30       0.4455 -106967.5156      16.0332       0.0000       0.0000       0.0000       0.0000
    31       0.4611 -123254.9688      16.8945       0.0000          NaN ************       0.0000
    32       0.4767 -136606.4531      17.5117       0.0000       0.0000       0.0000       0.0000
    33       0.4923 -145441.5625      17.8341       0.0000       0.0000 ************       0.0000
    34       0.5080 -148655.0781      17.8335       0.0000       0.0000       0.0000       0.0000
    35       0.5236 -145913.6094      17.5092       0.0000       0.0000 ************       0.0000
    36       0.5392 -137745.6094      16.8888       0.0000       0.0000       0.0000       0.0000
    37       0.5549 -125384.8281      16.0228       0.0000       0.0000 ************       0.0000
    38       0.5705 -110438.4141      14.9762       0.0000       0.0000       0.0000       0.0000
    39       0.5861  -94517.4766      13.8182       0.0000 ************       0.0000 ************
    40       0.6018  -78954.8438      12.6138       0.0000       0.0000       0.0000       0.0000
    41       0.6174  -64669.3203      11.4175       0.0000       0.0000 ************       0.0000
    42       0.6330  -52162.3594      10.2705       0.0000       0.0000       0.0000       0.0000
    43       0.6486  -41597.6836       9.2006       0.0000       0.0000 ************ ************
    44       0.6643  -32909.4531       8.2235       0.0000       0.0000       0.0000       0.0000
    45       0.6799  -25902.7891       7.3458       0.0001       0.0000 ************       0.0000
    46       0.6955  -20329.1582       6.5672       0.0001       0.0000       0.0000       0.0000
    47       0.7112  -15935.2510       5.8830       0.0001       0.0000 ************       0.0000
    48       0.7268  -12489.4453       5.2860       0.0001       0.0000       0.0000       0.0000
    49       0.7424   -9793.2568       4.7678       0.0001       0.0000 ************       0.0000
    50       0.7581   -7683.5254       4.3197       0.0001       0.0000       0.0000       0.0000
    51       0.7737   -6029.7275       3.9332       0.0001       0.0000 ************       0.0000
    52       0.7893   -4729.4072       3.6007       0.0001       0.0000       0.0000       0.0000
    53       0.8049   -3703.1030       3.3150       0.0001       0.0000       0.0000       0.0000
    54       0.8206   -2889.6628       3.0702       0.0001       0.0000       0.0000       0.0000
    55       0.8362   -2242.2556       2.8608       0.0001       0.0000       0.0000       0.0000
    56       0.8518   -1725.0806       2.6824       0.0001       0.0000       0.0000       0.0000
    57       0.8675   -1310.8235       2.5310       0.0001       0.0000       0.0000       0.0000
    58       0.8831    -978.6420       2.4035       0.0002       0.0000       0.0000       0.0000
    59       0.8987    -712.6540       2.2972       0.0002       0.0000       0.0000       0.0000
    60       0.9144    -500.7832       2.2098       0.0002       0.0000       0.0000       0.0000
    61       0.9300    -333.8947       2.1395       0.0002       0.0000       0.0000       0.0000
    62       0.9456    -205.1783       2.0850       0.0002       0.0000       0.0000       0.0000
    63       0.9612    -109.7037       2.0453       0.0002 ************       0.0000 ************
    64       0.9769     -44.4464       2.0204       0.0002       0.0000       0.0000       0.0000
    65       0.9925      -9.7666       2.0068       0.0004       0.0000       0.0000       0.0000
    66       1.0003       0.0000       2.0068       0.0000       0.0000       0.0000       0.0000
