 # I XP P U DE ATW ATP BT
     1       0.0000   45527.2422       2.0000       0.0001       0.0000 ************       0.0000
     2       0.0312   45527.2422       2.1026       0.0000       0.0000       0.0000       0.0000
     3       0.0938   45093.4414       2.4467       0.0000       0.0000       0.0000       0.0000
     4       0.1562   43909.3047       3.1732       0.0000       0.0000       0.0000       0.0000
     5       0.2188   40913.9766       4.5193       0.0000       0.0000          NaN       0.0000
     6       0.2812   33528.8711       6.7423       0.0000       0.0000          NaN       0.0000
     7       0.3438   15947.8223       9.9047       0.0000       0.0000 ************       0.0000
     8       0.4062  -21006.4922      13.4760       0.0000       0.0000       0.0000       0.0000
     9       0.4688  -76865.4375      16.1181       0.0000       0.0000 ************       0.0000
    10       0.5312 -110999.7812      16.3223       0.0000       0.0000       0.0000       0.0000
    11       0.5938  -85476.4922      13.6189       0.0000       0.0000 ************       0.0000
    12       0.6562  -43280.5000       9.5933       0.0000       0.0000       0.0000       0.0000
    13       0.7188  -18262.8516       6.2648       0.0000       0.0000 ************       0.0000
    14       0.7812   -7318.8730       4.1614       0.0000       0.0000       0.0000          NaN
    15       0.8438   -2804.5220       2.9827       0.0000       0.0000       0.0000      -0.0000
    16       0.9062    -898.7130       2.3941       0.0000       0.0000       0.0000       0.0000
    17       0.9688    -181.7604       2.1269       0.0001       0.0000 ************       0.0000
    18       1.0000       0.0000       2.1269       0.0000       0.0000       0.0000       0.0000
