 # I XP P U DE ATW ATP BT
     1       0.0000    6263.6201       2.0000       0.0002       0.0000 ************       0.0000
     2       0.0156    6263.6201       2.0118       0.0001       0.0000       0.0000       0.0000
     3       0.0469    6102.0259       2.0845       0.0001       0.0000       0.0000       0.0000
     4       0.0781    5848.1870       2.2063       0.0001       0.0000       0.0000       0.0000
     5       0.1094    5422.8086       2.3957       0.0001       0.0000          NaN       0.0000
     6       0.1406    4741.8647       2.6720       0.0001       0.0000          NaN       0.0000
     7       0.1719    3672.9871       3.0588       0.0001       0.0000 ************       0.0000
     8       0.2031    1993.1655       3.5891       0.0000       0.0000       0.0000       0.0000
     9       0.2344    -669.8888       4.3053       0.0000       0.0000 ************       0.0000
    10       0.2656   -4925.2554       5.2589       0.0000       0.0000       0.0000       0.0000
    11       0.2969  -11729.3359       6.5034       0.0000       0.0000 ************       0.0000
    12       0.3281  -22464.7852       8.0790       0.0000       0.0000       0.0000       0.0000
    13       0.3594  -38816.3438       9.9839       0.0000       0.0000 ************       0.0000
    14       0.3906  -62085.1094      12.1333       0.0000       0.0000       0.0000          NaN
    15       0.4219  -91535.2344      14.3183       0.0000       0.0000       0.0000      -0.0000
    16       0.4531 -122114.4062      16.1970       0.0000       0.0000       0.0000       0.0000
    17       0.4844 -143945.5000      17.3580       0.0000       0.0000 ************       0.0000
    18       0.5156 -147030.8438      17.4711       0.0000       0.0000       0.0000       0.0000
    19       0.5469 -129402.5547      16.4608       0.0000       0.0000 ************       0.0000
    20       0.5781  -99449.1719      14.5759       0.0000       0.0000       0.0000       0.0000
    21       0.6094  -68724.7969      12.2709       0.0000       0.0000 ************       0.0000
    22       0.6406  -44266.6133       9.9841       0.0000       0.0000       0.0000       0.0000
    23       0.6719  -27456.6914       7.9878       0.0000       0.0000 ************       0.0000
    24       0.7031  -16785.6211       6.3774       0.0000       0.0000       0.0000       0.0000
    25       0.7344  -10242.4941       5.1363       0.0000       0.0000       0.0000       0.0000
    26       0.7656   -6257.4331       4.2038       0.0000       0.0000       0.0000       0.0000
    27       0.7969   -3809.0632       3.5120       0.0001       0.0000          NaN       0.0000
    28       0.8281   -2280.9167       3.0041       0.0001       0.0000          NaN       0.0000
    29       0.8594   -1313.3204       2.6335       0.0001       0.0000 ************       0.0000
    30       0.8906    -696.0468       2.3720       0.0001       0.0000       0.0000       0.0000
    31       0.9219    -311.3552       2.1890       0.0001          NaN ************       0.0000
    32       0.9531     -88.3577       2.0877       0.0001       0.0000       0.0000       0.0000
    33       0.9844      -6.6926       2.0290       0.0002       0.0000 ************       0.0000
    34       1.0000       0.0000       2.0290       0.0000       0.0000       0.0000       0.0000
