 # I XP P U DE ATW ATP BT
     1       0.0000    5076.6484       2.0000       0.0004       0.0000 ************       0.0000
     2       0.0078    5076.6484       2.0001       0.0002       0.0000       0.0000       0.0000
     3       0.0234    5036.6870       2.0199       0.0002       0.0000       0.0000       0.0000
     4       0.0391    4982.3682       2.0465       0.0002       0.0000       0.0000       0.0000
     5       0.0547    4898.1143       2.0870       0.0002       0.0000          NaN       0.0000
     6       0.0703    4780.3696       2.1422       0.0002       0.0000          NaN       0.0000
     7       0.0860    4624.1143       2.2132       0.0002       0.0000 ************       0.0000
     8       0.1016    4422.5078       2.3015       0.0002       0.0000       0.0000       0.0000
     9       0.1172    4166.4927       2.4087       0.0001       0.0000 ************       0.0000
    10       0.1329    3844.1890       2.5373       0.0001       0.0000       0.0000       0.0000
    11       0.1485    3440.0713       2.6899       0.0001       0.0000 ************       0.0000
    12       0.1641    2933.8533       2.8698       0.0001       0.0000       0.0000       0.0000
    13       0.1797    2299.0286       3.0808       0.0001       0.0000 ************       0.0000
    14       0.1954    1500.9927       3.3276       0.0001       0.0000       0.0000          NaN
    15       0.2110     494.5793       3.6154       0.0001       0.0000       0.0000      -0.0000
    16       0.2266    -779.0442       3.9504       0.0001       0.0000       0.0000       0.0000
    17       0.2423   -2396.2458       4.3396       0.0001       0.0000 ************       0.0000
    18       0.2579   -4455.4966       4.7906       0.0001       0.0000       0.0000       0.0000
    19       0.2735   -7082.4097       5.3118       0.0001       0.0000 ************       0.0000
    20       0.2892  -10434.6279       5.9116       0.0001       0.0000       0.0000       0.0000
    21       0.3048  -14705.2012       6.5981       0.0001       0.0000 ************       0.0000
    22       0.3204  -20122.2168       7.3782       0.0000       0.0000       0.0000       0.0000
    23       0.3360  -26940.6465       8.2560       0.0000       0.0000 ************       0.0000
    24       0.3517  -35421.4141       9.2314       0.0000       0.0000       0.0000       0.0000
    25       0.3673  -45790.9219      10.2975       0.0000       0.0000       0.0000       0.0000
    26       0.3829  -58175.7383      11.4383       0.0000       0.0000       0.0000       0.0000
    27       0.3986  -72511.9062      12.6266       0.0000       0.0000          NaN       0.0000
    28       0.4142  -88438.9531      13.8224       0.0000       0.0000          NaN       0.0000
    29       0.4298 -105207.1094      14.9727       0.0000       0.0000 ************       0.0000
    30       0.4455 -121643.5547      16.0144       0.0000       0.0000       0.0000       0.0000
    31       0.4611 -136229.7656      16.8794       0.0000          NaN ************       0.0000
    32       0.4767 -147322.0625      17.5031       0.0000       0.0000       0.0000       0.0000
    33       0.4923 -153489.6250      17.8337       0.0000       0.0000 ************       0.0000
    34       0.5080 -153873.4375      17.8412       0.0000       0.0000       0.0000       0.0000
    35       0.5236 -148429.2344      17.5235       0.0000       0.0000 ************       0.0000
    36       0.5392 -137945.6719      16.9070       0.0000       0.0000       0.0000       0.0000
    37       0.5549 -123825.9609      16.0418       0.0000       0.0000 ************       0.0000
    38       0.5705 -107729.4766      14.9934       0.0000       0.0000       0.0000       0.0000
    39       0.5861  -91215.5859      13.8318       0.0000 ************       0.0000 ************
    40       0.6018  -75500.0859      12.6232       0.0000       0.0000       0.0000       0.0000
    41       0.6174  -61363.0078      11.4227       0.0000       0.0000 ************       0.0000
    42       0.6330  -49178.6250      10.2722       0.0000       0.0000       0.0000       0.0000
    43       0.6486  -39012.1172       9.1997       0.0000       0.0000 ************ ************
    44       0.6643  -30731.3652       8.2209       0.0000       0.0000       0.0000       0.0000
    45       0.6799  -24103.0508       7.3422       0.0001       0.0000 ************       0.0000
    46       0.6955  -18860.5605       6.5632       0.0001       0.0000       0.0000       0.0000
    47       0.7112  -14745.6514       5.8790       0.0001       0.0000 ************       0.0000
    48       0.7268  -11529.0811       5.2822       0.0001       0.0000       0.0000       0.0000
    49       0.7424   -9018.3418       4.7643       0.0001       0.0000 ************       0.0000
    50       0.7581   -7057.1333       4.3167       0.0001       0.0000       0.0000       0.0000
    51       0.7737   -5521.9810       3.9305       0.0001       0.0000 ************       0.0000
    52       0.7893   -4316.0576       3.5986       0.0001       0.0000       0.0000       0.0000
    53       0.8049   -3365.5413       3.3128       0.0001       0.0000       0.0000       0.0000
    54       0.8206   -2612.6160       3.0691       0.0001       0.0000       0.0000       0.0000
    55       0.8362   -2014.6382       2.8588       0.0001       0.0000       0.0000       0.0000
    56       0.8518   -1537.3892       2.6821       0.0001       0.0000       0.0000       0.0000
    57       0.8675   -1156.5464       2.5291       0.0001       0.0000       0.0000       0.0000
    58       0.8831    -851.9574       2.4040       0.0002       0.0000       0.0000       0.0000
    59       0.8987    -609.7207       2.2954       0.0002       0.0000       0.0000       0.0000
    60       0.9144    -418.1078       2.2107       0.0002       0.0000       0.0000       0.0000
    61       0.9300    -269.2377       2.1378       0.0002       0.0000       0.0000       0.0000
    62       0.9456    -156.6368       2.0863       0.0002       0.0000       0.0000       0.0000
    63       0.9612     -76.1950       2.0437       0.0002 ************       0.0000 ************
    64       0.9769     -25.1111       2.0212       0.0002       0.0000       0.0000       0.0000
    65       0.9925      -2.9876       2.0070       0.0004       0.0000       0.0000       0.0000
    66       1.0003       0.0000       2.0070       0.0000       0.0000       0.0000       0.0000
